min	03A	06A	13A	27A	33E	36B	46A	34A	39A	43A	29A	06B	07B	36A
275	0.0025	0.00475	0.0055	0.009	0.003875	0.00725	0.0015	0.002875	0.0065	0.004	0.004	0	0	0
280	0.003	0.00475	0.006	0.0095	0.005875	0.00825	0.0015	0.002875	0.007	0.004	0.0045	0	0	0
285	0.003	0.00525	0.005	0.01	0.006875	0.00825	0.0015	0.001875	0.007	0.0045	0.0045	0	0	0
290	0.003	0.00475	0.0055	0.011	0.005875	0.00825	0.0015	0.002375	0.0075	0.0045	0.0045	0	0	0
295	0.003	0.00525	0.0065	0.01	0.006375	0.00875	0.0015	0.002875	0.008	0.005	0.005	0	0	0
300	0.003	0.00575	0.007	0.0105	0.006875	0.00975	0.0015	0.001875	0.0085	0.005	0.0055	0	0	0
305	0.004	0.00625	0.008	0.0125	0.007375	0.01025	0.0015	0.004375	0.0085	0.005	0.0055	0	0	0
310	0.0035	0.00675	0.0075	0.0145	0.007375	0.01025	0.0015	0.003875	0.009	0.005	0.006	0	0	0
315	0.004	0.00675	0.0085	0.015	0.007875	0.01275	0.0015	0.003875	0.0095	0.006	0.006	0	0	0
320	0.004	0.00675	0.009	0.014	0.007875	0.01075	0.0015	0.003375	0.0095	0.006	0.0065	0	0	0
325	0.004	0.00675	0.0095	0.0155	0.008375	0.01325	0.0015	0.004375	0.0105	0.006	0.0065	0	0	0
330	0.005	0.00675	0.0105	0.017	0.007875	0.01225	0.0015	0.004875	0.0105	0.0065	0.007	0	0	0
335	0.005	0.00725	0.011	0.0165	0.008375	0.01375	0.002	0.004375	0.0115	0.0065	0.0075	0	0	0
340	0.005	0.00675	0.0115	0.0155	0.009375	0.01425	0.002	0.005375	0.0115	0.007	0.0075	0	0	0
345	0.005	0.00725	0.012	0.018	0.009375	0.01475	0.002	0.005375	0.0125	0.0075	0.0085	0	0	0
350	0.0055	0.00775	0.0125	0.02	0.010875	0.01625	0.0025	0.004875	0.0125	0.0075	0.009	0	0	0
355	0.0055	0.00775	0.013	0.0195	0.009875	0.01725	0.0025	0.006375	0.0135	0.008	0.009	0	0	0
360	0.0055	0.00775	0.014	0.0205	0.009375	0.01725	0.0025	0.004375	0.0135	0.0085	0.0095	0	0	0.0005
365	0.006	0.00875	0.0145	0.0215	0.011875	0.01875	0.0025	0.007375	0.0145	0.0085	0.01	0	0	0.0005
370	0.006	0.00875	0.0145	0.022	0.012375	0.01725	0.0025	0.004875	0.015	0.0085	0.0105	0	0	0.001
375	0.0065	0.00875	0.015	0.0215	0.011875	0.01975	0.0025	0.007875	0.015	0.0095	0.0105	0	0	0.001
380	0.007	0.00875	0.0155	0.022	0.013375	0.01875	0.0025	0.008375	0.016	0.0095	0.0115	0	0	0.0005
385	0.007	0.00925	0.0175	0.0235	0.013875	0.02025	0.0025	0.006375	0.016	0.01	0.0115	0	0	0
390	0.007	0.00925	0.0175	0.025	0.014375	0.01975	0.0025	0.008375	0.0165	0.0105	0.0125	0	0	0.001
395	0.0075	0.00925	0.018	0.026	0.014875	0.02125	0.003	0.007375	0.0165	0.0105	0.0125	0	0	0.0005
400	0.008	0.01075	0.018	0.0255	0.014375	0.02075	0.0035	0.007375	0.0175	0.0105	0.013	0	0	0.0005
405	0.008	0.01025	0.018	0.0255	0.014875	0.02225	0.003	0.008875	0.018	0.0115	0.014	0	0	0
410	0.008	0.01125	0.0185	0.0255	0.015375	0.02275	0.0035	0.009875	0.0185	0.0115	0.014	0	0	0.0005
415	0.008	0.01125	0.018	0.0285	0.016875	0.02425	0.0035	0.007875	0.0185	0.012	0.0145	0	0	0.0005
420	0.0085	0.01225	0.018	0.0265	0.019375	0.02425	0.0035	0.009875	0.0195	0.012	0.015	0	0	0.001
425	0.009	0.01175	0.018	0.0275	0.017875	0.02225	0.0035	0.007875	0.0195	0.0125	0.016	0	0	0.001
430	0.009	0.01225	0.0195	0.026	0.017875	0.02425	0.0035	0.009375	0.02	0.013	0.016	0	0	0.0005
435	0.009	0.01225	0.0205	0.032	0.016875	0.02275	0.0035	0.008875	0.0205	0.013	0.017	0	0	0.001
440	0.0095	0.01275	0.022	0.031	0.017375	0.02475	0.0035	0.009875	0.021	0.0135	0.0175	0	0	0.001
445	0.01	0.01325	0.023	0.031	0.021875	0.02725	0.004	0.009375	0.022	0.014	0.018	0	0	0.002
450	0.01	0.01275	0.023	0.0325	0.020875	0.02725	0.0045	0.011375	0.0225	0.014	0.019	0	0	0.0015
455	0.0105	0.01375	0.0225	0.0355	0.020375	0.02775	0.0045	0.009375	0.023	0.014	0.0195	0	0	0.001
460	0.01	0.01375	0.023	0.0345	0.018875	0.02875	0.0045	0.009875	0.023	0.014	0.0195	0	0	0.0015
465	0.0105	0.01425	0.0245	0.036	0.020875	0.02975	0.0045	0.012375	0.0245	0.015	0.0205	0	0	0.0015
470	0.011	0.01425	0.0245	0.036	0.018875	0.02825	0.0045	0.011875	0.0245	0.015	0.021	0	0	0.001
475	0.011	0.01425	0.026	0.036	0.020875	0.02875	0.0045	0.010875	0.025	0.015	0.0215	0	0	0.002
480	0.011	0.01475	0.0265	0.0355	0.022875	0.03025	0.0045	0.011875	0.026	0.015	0.022	0	0	0.0015
485	0.012	0.01525	0.025	0.0345	0.022875	0.03125	0.0045	0.012375	0.027	0.0155	0.0225	0	0	0.0015
490	0.012	0.01625	0.029	0.037	0.022875	0.03375	0.0055	0.013375	0.027	0.016	0.023	0	0	0.0015
495	0.0125	0.01525	0.0305	0.0385	0.024375	0.03025	0.0055	0.012875	0.028	0.0165	0.0235	0	0	0.002
500	0.013	0.01675	0.03	0.04	0.025375	0.03325	0.0055	0.014375	0.029	0.017	0.024	0	0	0.0015
505	0.013	0.01675	0.03	0.04	0.028875	0.03425	0.0055	0.014375	0.0295	0.017	0.0245	0	0	0.0015
510	0.014	0.01725	0.032	0.041	0.024375	0.03425	0.0055	0.014375	0.031	0.0185	0.0245	0	0	0.0015
515	0.0145	0.01775	0.0325	0.044	0.025875	0.03675	0.0065	0.014375	0.0325	0.0185	0.0255	0	0.000375	0.002
520	0.015	0.01825	0.0335	0.0465	0.026875	0.03875	0.0065	0.013875	0.032	0.019	0.0255	0	0	0.0015
525	0.015	0.01875	0.0345	0.047	0.028875	0.03825	0.0065	0.015875	0.033	0.02	0.026	0	0	0.002
530	0.016	0.01875	0.035	0.047	0.028875	0.03925	0.0065	0.016875	0.0345	0.02	0.026	0	0	0.002
535	0.016	0.01975	0.0355	0.047	0.025875	0.04175	0.0065	0.017875	0.036	0.021	0.0265	0	0	0.002
540	0.0165	0.01925	0.038	0.048	0.031875	0.04375	0.007	0.017875	0.036	0.0215	0.027	0	0	0.002
545	0.0175	0.02025	0.0395	0.049	0.030375	0.04325	0.007	0.018375	0.038	0.0215	0.0275	0	0	0.0025
550	0.018	0.02025	0.0405	0.0505	0.031875	0.04325	0.0075	0.018375	0.0395	0.0225	0.0275	0	0	0.0025
555	0.0185	0.02175	0.042	0.052	0.031875	0.04525	0.007	0.019375	0.039	0.0235	0.028	0	0	0.0025
560	0.0195	0.02175	0.043	0.054	0.033375	0.04675	0.007	0.020375	0.04	0.0245	0.028	0	0	0.0025
565	0.0195	0.02275	0.044	0.0555	0.033375	0.04775	0.008	0.020875	0.042	0.025	0.0285	0	0	0.0025
570	0.0205	0.02325	0.0455	0.057	0.033875	0.04875	0.008	0.021875	0.0435	0.026	0.0285	0	0	0.0025
575	0.0215	0.02475	0.047	0.0575	0.038375	0.04975	0.008	0.022875	0.045	0.0265	0.029	0	0	0.003
580	0.0215	0.02475	0.048	0.0585	0.036875	0.05075	0.008	0.022875	0.0455	0.027	0.029	0	0	0.0035
585	0.023	0.02625	0.0495	0.0595	0.038375	0.05225	0.008	0.023875	0.046	0.0275	0.029	0	0	0.0035
590	0.024	0.02675	0.051	0.061	0.041875	0.05325	0.008	0.024875	0.048	0.0285	0.029	0	0	0.004
595	0.0245	0.02825	0.053	0.0625	0.042875	0.05525	0.008	0.025875	0.0505	0.0305	0.0295	0	0	0.0035
600	0.0255	0.02875	0.054	0.0635	0.044375	0.05575	0.008	0.026875	0.0515	0.0305	0.029	0	0	0.0035
605	0.0265	0.03075	0.057	0.0655	0.045875	0.05775	0.0085	0.028375	0.0525	0.032	0.029	0	0	0.004
610	0.0275	0.03175	0.058	0.067	0.046375	0.05875	0.0085	0.029375	0.0555	0.0325	0.0295	0	0	0.0045
615	0.0285	0.03375	0.06	0.0685	0.047875	0.06075	0.009	0.030375	0.0565	0.034	0.0295	0	0	0.0045
620	0.03	0.03525	0.0625	0.0715	0.049375	0.06325	0.009	0.031875	0.0595	0.0355	0.0295	0.0005	0.000375	0.004
625	0.0315	0.03675	0.064	0.073	0.049875	0.06425	0.009	0.032375	0.061	0.037	0.0295	0	0	0.0045
630	0.0325	0.03875	0.066	0.0755	0.051375	0.06675	0.009	0.033875	0.063	0.0385	0.0295	0	0	0.0045
635	0.0345	0.04075	0.0685	0.0775	0.052375	0.06875	0.0095	0.034875	0.065	0.04	0.03	0	0	0.0045
640	0.0365	0.04275	0.07	0.079	0.053375	0.07075	0.0095	0.036875	0.0675	0.0415	0.03	0	0	0.0045
645	0.038	0.04425	0.0725	0.0815	0.054875	0.07325	0.01	0.037875	0.0695	0.0425	0.03	0	0	0.0045
650	0.04	0.04675	0.0745	0.083	0.056875	0.07575	0.01	0.039375	0.072	0.044	0.03	0.0005	0	0.005
655	0.041	0.04825	0.077	0.0855	0.058375	0.07725	0.01	0.040875	0.074	0.0455	0.0305	0	0	0.0045
660	0.044	0.05025	0.078	0.0865	0.060375	0.07925	0.0105	0.042375	0.077	0.0465	0.031	0.0005	0	0.0045
665	0.0455	0.05225	0.08	0.089	0.062375	0.08175	0.011	0.044375	0.079	0.048	0.0315	0.0005	0	0.0045
670	0.0475	0.05475	0.082	0.0905	0.064375	0.08325	0.011	0.045875	0.0825	0.0495	0.0325	0.0005	0	0.004
675	0.049	0.05675	0.0835	0.0925	0.066875	0.08525	0.011	0.046875	0.086	0.0505	0.0325	0	0	0.0035
680	0.051	0.05925	0.085	0.0945	0.068875	0.08675	0.0115	0.049375	0.088	0.0525	0.033	0.0005	0	0.0045
685	0.053	0.06125	0.0865	0.0965	0.070875	0.08875	0.012	0.050875	0.0905	0.0535	0.0335	0.001	0	0.0045
690	0.0555	0.06425	0.0885	0.098	0.073375	0.09075	0.012	0.052375	0.0935	0.055	0.034	0.0005	0	0.005
695	0.0575	0.06575	0.0905	0.0995	0.074875	0.09225	0.012	0.054875	0.0965	0.0565	0.035	0.001	0.000375	0.0055
700	0.06	0.06875	0.0915	0.1015	0.077875	0.09425	0.013	0.057375	0.0995	0.0585	0.0355	0.001	0	0.005
705	0.062	0.07125	0.0935	0.1035	0.079875	0.09625	0.013	0.058875	0.103	0.06	0.036	0.001	0	0.0055
710	0.0645	0.07375	0.0945	0.1055	0.081875	0.09775	0.013	0.061375	0.1065	0.062	0.037	0.001	0	0.006
715	0.067	0.07575	0.096	0.1065	0.083875	0.09925	0.0135	0.062375	0.1095	0.0635	0.038	0.001	0	0.006
720	0.0695	0.07825	0.097	0.1085	0.085875	0.10025	0.0135	0.064375	0.1135	0.0655	0.04	0.0015	0.000375	0.0065
725	0.072	0.08075	0.098	0.11	0.087875	0.10225	0.014	0.067375	0.117	0.068	0.041	0.0015	0	0.0065
730	0.0745	0.08375	0.1	0.1115	0.090375	0.10425	0.0145	0.069375	0.12	0.07	0.042	0.0015	0	0.0065
735	0.076	0.08525	0.1005	0.1125	0.091375	0.10525	0.0145	0.071375	0.122	0.072	0.043	0.002	0	0.0065
740	0.079	0.08825	0.1015	0.114	0.093875	0.10725	0.0155	0.073875	0.126	0.075	0.045	0.002	0.000375	0.0075
745	0.0815	0.09025	0.103	0.115	0.096375	0.10875	0.0155	0.076875	0.1295	0.077	0.0465	0.002	0.000375	0.0075
750	0.084	0.09325	0.104	0.116	0.097875	0.11025	0.0165	0.079875	0.1335	0.08	0.0475	0.002	0.000375	0.0075
755	0.0855	0.09575	0.105	0.117	0.099375	0.11075	0.0165	0.082875	0.1355	0.082	0.049	0.002	0	0.0075
760	0.0885	0.09825	0.106	0.1185	0.101375	0.11225	0.0175	0.085375	0.1395	0.084	0.051	0.003	0	0.0075
765	0.091	0.10075	0.107	0.12	0.103375	0.11275	0.0175	0.088375	0.1415	0.0865	0.053	0.0025	0	0.008
770	0.094	0.10375	0.1085	0.121	0.105375	0.11475	0.018	0.091875	0.146	0.0885	0.0545	0.003	0.000875	0.0085
775	0.0965	0.10575	0.1095	0.122	0.106875	0.11575	0.0185	0.093875	0.149	0.091	0.056	0.0025	0.000875	0.0085
780	0.0985	0.10775	0.111	0.123	0.108375	0.11675	0.019	0.096375	0.152	0.0925	0.058	0.003	0.000375	0.0085
785	0.101	0.11075	0.112	0.1245	0.109875	0.11775	0.02	0.099375	0.155	0.095	0.06	0.003	0.000875	0.0085
790	0.103	0.11275	0.113	0.125	0.110875	0.11875	0.0205	0.101875	0.1585	0.096	0.062	0.003	0.000875	0.009
795	0.106	0.11525	0.114	0.1265	0.112375	0.11975	0.0215	0.104875	0.1625	0.098	0.0645	0.0035	0.000875	0.009
800	0.1085	0.11775	0.115	0.1275	0.113875	0.12075	0.0225	0.107875	0.166	0.0995	0.0665	0.0035	0.000875	0.009
805	0.1115	0.12025	0.116	0.1285	0.114875	0.12225	0.0235	0.110375	0.169	0.1005	0.0695	0.003	0.000875	0.0095
810	0.114	0.12275	0.118	0.1305	0.116875	0.12375	0.0245	0.112875	0.173	0.102	0.072	0.003	0.000875	0.01
815	0.116	0.12525	0.119	0.1315	0.117875	0.12525	0.025	0.115375	0.1765	0.103	0.075	0.003	0.001375	0.01
820	0.1185	0.12775	0.12	0.133	0.119875	0.12625	0.026	0.117375	0.18	0.1045	0.0785	0.0035	0.000875	0.01
825	0.121	0.13025	0.121	0.1345	0.121375	0.12825	0.028	0.119875	0.1835	0.106	0.081	0.0035	0.001375	0.011
830	0.1235	0.13225	0.122	0.1355	0.122375	0.12925	0.0295	0.121375	0.187	0.107	0.0845	0.0035	0.001875	0.011
835	0.1255	0.13425	0.123	0.137	0.123375	0.13025	0.031	0.123375	0.1905	0.1075	0.0875	0.0045	0.001875	0.0115
840	0.128	0.13725	0.1245	0.138	0.124875	0.13225	0.033	0.124875	0.1935	0.1095	0.091	0.0045	0.002375	0.012
845	0.1305	0.13925	0.126	0.139	0.125875	0.13325	0.0345	0.126375	0.1965	0.11	0.0935	0.0055	0.001875	0.012
850	0.1325	0.14225	0.127	0.1405	0.127375	0.13475	0.0375	0.127875	0.1995	0.111	0.0965	0.0055	0.002375	0.013
855	0.135	0.14425	0.1285	0.1425	0.128375	0.13575	0.0395	0.129875	0.204	0.112	0.0995	0.0055	0.002375	0.014
860	0.137	0.14625	0.13	0.1435	0.129875	0.13725	0.042	0.130875	0.2065	0.1135	0.1025	0.0065	0.001875	0.014
865	0.139	0.14875	0.131	0.145	0.130875	0.13875	0.045	0.131875	0.21	0.114	0.105	0.0065	0.002375	0.015
870	0.141	0.15075	0.1325	0.147	0.132875	0.14025	0.048	0.133875	0.213	0.115	0.108	0.007	0.002375	0.0165
875	0.143	0.15325	0.1335	0.1485	0.133875	0.14125	0.051	0.134875	0.2165	0.1155	0.111	0.007	0.002375	0.0175
880	0.1455	0.15575	0.1345	0.1495	0.135375	0.14275	0.055	0.136375	0.22	0.117	0.114	0.007	0.002375	0.0185
885	0.147	0.15825	0.1365	0.151	0.136375	0.14425	0.0595	0.137375	0.223	0.1185	0.117	0.0075	0.002375	0.02
890	0.15	0.16075	0.1375	0.1525	0.138375	0.14525	0.064	0.138875	0.226	0.1195	0.1195	0.008	0.002375	0.0215
895	0.151	0.16225	0.1385	0.1535	0.139375	0.14675	0.068	0.139375	0.229	0.1205	0.122	0.008	0.002375	0.023
900	0.1535	0.16425	0.14	0.1545	0.140375	0.14825	0.073	0.140875	0.232	0.1215	0.125	0.008	0.002875	0.0245
905	0.1555	0.16625	0.1415	0.1555	0.141375	0.14875	0.0775	0.141375	0.2345	0.122	0.1275	0.008	0.002875	0.026
910	0.1575	0.16825	0.1425	0.1575	0.143375	0.14975	0.082	0.141375	0.2375	0.1235	0.1305	0.0085	0.002875	0.0275
915	0.159	0.17075	0.144	0.1585	0.144375	0.15125	0.0865	0.142375	0.2405	0.124	0.133	0.0085	0.003375	0.0295
920	0.161	0.17225	0.145	0.1595	0.146375	0.15325	0.091	0.142375	0.243	0.1255	0.136	0.009	0.003875	0.0305
925	0.163	0.17425	0.1465	0.161	0.147375	0.15425	0.0955	0.142875	0.245	0.1265	0.139	0.0095	0.003875	0.0325
930	0.165	0.17625	0.148	0.1625	0.148375	0.15575	0.1	0.143375	0.248	0.1275	0.142	0.0095	0.003875	0.034
935	0.167	0.17875	0.149	0.164	0.149875	0.15725	0.104	0.143875	0.251	0.1285	0.1455	0.01	0.004375	0.036
940	0.168	0.18075	0.149	0.165	0.150875	0.15825	0.1085	0.143375	0.253	0.129	0.148	0.01	0.004875	0.0375
945	0.1705	0.18275	0.151	0.1665	0.152875	0.15975	0.1125	0.144375	0.2565	0.131	0.1515	0.01	0.004875	0.039
950	0.1725	0.18475	0.152	0.1675	0.153875	0.16125	0.117	0.144875	0.2585	0.1315	0.155	0.0105	0.004875	0.041
955	0.1745	0.18725	0.1535	0.1695	0.155875	0.16275	0.1215	0.145375	0.261	0.1325	0.158	0.0105	0.005375	0.043
960	0.1765	0.18875	0.154	0.1705	0.157375	0.16425	0.1255	0.145875	0.263	0.134	0.161	0.0105	0.005375	0.0445
965	0.178	0.19025	0.1555	0.1715	0.158375	0.16525	0.1295	0.146375	0.2655	0.135	0.164	0.011	0.005875	0.046
970	0.18	0.19225	0.1565	0.173	0.160375	0.16625	0.1335	0.146375	0.267	0.136	0.1665	0.0115	0.005875	0.048
975	0.1815	0.19425	0.1575	0.174	0.161875	0.16825	0.1375	0.146375	0.269	0.1365	0.17	0.0115	0.006375	0.05
980	0.1835	0.19625	0.1585	0.1755	0.162875	0.16925	0.142	0.147375	0.271	0.1385	0.1725	0.0125	0.006375	0.0515
985	0.1855	0.19825	0.1595	0.1775	0.164875	0.17025	0.1455	0.147875	0.2735	0.1395	0.1755	0.0125	0.006875	0.053
990	0.187	0.19975	0.1605	0.1785	0.166375	0.17175	0.149	0.148875	0.275	0.1405	0.178	0.013	0.006875	0.055
995	0.189	0.20175	0.162	0.1805	0.167875	0.17325	0.154	0.149375	0.2765	0.1425	0.181	0.014	0.007875	0.0575
1000	0.1905	0.20475	0.1635	0.181	0.169375	0.17425	0.1575	0.150875	0.279	0.144	0.184	0.0145	0.007875	0.0595
1005	0.192	0.20575	0.1645	0.1825	0.170875	0.17525	0.161	0.151875	0.281	0.145	0.1865	0.015	0.007875	0.0615
1010	0.194	0.20725	0.165	0.1835	0.171875	0.17675	0.165	0.152875	0.2815	0.1465	0.1885	0.017	0.007875	0.0635
1015	0.196	0.20925	0.167	0.185	0.173375	0.17825	0.1685	0.154375	0.284	0.1475	0.1915	0.018	0.008375	0.0665
1020	0.197	0.21125	0.168	0.1865	0.174375	0.17975	0.1725	0.155375	0.2845	0.1485	0.193	0.0195	0.009375	0.0685
1025	0.199	0.21225	0.1685	0.1875	0.175375	0.18025	0.175	0.156375	0.2855	0.1495	0.1955	0.021	0.009375	0.071
1030	0.2005	0.21475	0.17	0.1885	0.177375	0.18175	0.179	0.156875	0.288	0.151	0.1975	0.0235	0.009375	0.0735
1035	0.202	0.21675	0.171	0.1895	0.179375	0.18275	0.182	0.158375	0.2885	0.152	0.1995	0.0255	0.009875	0.0765
1040	0.203	0.21775	0.172	0.1905	0.180375	0.18425	0.1845	0.158875	0.289	0.153	0.2015	0.027	0.010375	0.0785
1045	0.204	0.21925	0.173	0.1925	0.181375	0.18525	0.187	0.159375	0.2905	0.154	0.203	0.0295	0.010375	0.0805
1050	0.206	0.22125	0.174	0.1935	0.182375	0.18575	0.1905	0.160375	0.292	0.155	0.205	0.032	0.010875	0.0835
1055	0.208	0.22225	0.175	0.1945	0.183875	0.18675	0.1925	0.162375	0.293	0.1565	0.207	0.035	0.010875	0.0865
1060	0.209	0.22425	0.176	0.1955	0.185375	0.18825	0.196	0.163375	0.294	0.1575	0.209	0.0375	0.011875	0.0885
1065	0.211	0.22575	0.177	0.1965	0.186875	0.18975	0.1985	0.164375	0.295	0.159	0.2105	0.0405	0.011875	0.092
1070	0.212	0.22725	0.178	0.1975	0.187875	0.19025	0.201	0.165375	0.2965	0.16	0.2125	0.043	0.012375	0.095
1075	0.213	0.22875	0.179	0.199	0.189375	0.19175	0.204	0.166875	0.2985	0.162	0.2145	0.0455	0.013375	0.098
1080	0.215	0.23125	0.18	0.2	0.190875	0.19325	0.2075	0.168375	0.2995	0.1635	0.216	0.0485	0.013875	0.1015
1085	0.216	0.23125	0.1805	0.2005	0.191875	0.19325	0.21	0.169375	0.301	0.1645	0.2175	0.0515	0.014875	0.104
1090	0.218	0.23375	0.182	0.2025	0.193875	0.19475	0.2135	0.172375	0.3025	0.1665	0.22	0.055	0.015875	0.1075
1095	0.219	0.23475	0.183	0.203	0.194875	0.19575	0.2155	0.173875	0.3025	0.168	0.221	0.0575	0.016875	0.1105
1100	0.22	0.23575	0.1835	0.204	0.195875	0.19675	0.2175	0.175375	0.3035	0.1695	0.223	0.061	0.018375	0.1135
1105	0.222	0.23775	0.185	0.2055	0.197375	0.19825	0.2205	0.176375	0.305	0.1715	0.225	0.064	0.019875	0.116
1110	0.223	0.23825	0.1855	0.2055	0.198375	0.19825	0.2225	0.177375	0.306	0.1725	0.226	0.067	0.020875	0.119
1115	0.224	0.24025	0.1865	0.2065	0.199375	0.19925	0.2245	0.178375	0.306	0.1735	0.228	0.0705	0.022375	0.122
1120	0.2255	0.24125	0.187	0.2075	0.200875	0.20075	0.227	0.180875	0.307	0.1755	0.2295	0.0735	0.024875	0.124
1125	0.227	0.24275	0.188	0.2085	0.201875	0.20175	0.229	0.181875	0.308	0.177	0.231	0.0775	0.026875	0.1265
1130	0.228	0.24375	0.189	0.21	0.203375	0.20225	0.232	0.183875	0.3095	0.1785	0.233	0.0815	0.029375	0.1295
