"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"clade"	"strain_id"
-1.57309250674675	-0.905636951590587	0.0454928070122028	0.613937682638784	0.682439946178584	0.192645158137623	-0.18479419346236	-1.38777878078145e-16	-3.05311331771918e-16	"Psyr"	"10A"
-0.915515848878118	-1.41960133024863	-0.0846605410746694	0.0617343924996197	0.763931467361636	-0.294270271482457	-0.221014786705926	-5.13478148889135e-16	0	"Psyr"	"21B"
-2.66087028186696	-1.34972998067892	-0.526439501547954	0.67677903079436	0.125893953773242	-0.739102087153197	0.333598455442728	-4.16333634234434e-16	-1.11022302462516e-16	"Psyr"	"20A"
-2.2185717631583	-1.03599447746948	0.594316952477457	-0.42850105170057	-1.18292889301664	0.391252896249801	-0.382636628851634	7.97972798949331e-17	2.70616862252382e-16	"Psyr"	"17A"
-0.332345536419493	-1.21586268882248	-1.31778466476625	0.319269665735911	0.773272185956806	-0.460702708895664	-0.0135030276289586	-3.88578058618805e-16	-9.71445146547012e-17	"Psyr"	"24A"
-1.49695177040083	-2.30665036212134	-0.140756790855449	0.661313813669679	0.94326132699486	-0.342625297917923	0.495882841391415	-4.02455846426619e-16	-2.22044604925031e-16	"Psyr"	"39C"
-0.885781973761881	-1.27428693128171	-0.254543195093183	0.484409804417161	0.374225536509754	0.634463851071201	-0.204961818215636	-1.42247325030098e-16	-4.64905891561784e-16	"Psyr"	"14B"
-1.70648042098551	0.193896605989855	-1.21198214503331	1.37499664585008	0.0428394174333164	0.883570856266647	-0.0725919991891905	2.22044604925031e-16	-7.7715611723761e-16	"Psyr"	"16A"
-1.81813919407145	-1.03187353972839	1.44505344453631	-0.844634318238971	0.400443595523856	-0.811894776020726	-0.20277182944801	-4.71844785465692e-16	7.21644966006352e-16	"Psyr"	"46B"
-1.4609646804209	2.63420922307947	-1.23026138011079	0.383190840712753	0.565373637069384	-0.634815292780197	-0.725126118332197	-2.22044604925031e-16	-4.44089209850063e-16	"Psyr"	"19A"
-0.900017213841194	-1.09844695208942	-0.674139577501462	-0.222117927359649	-0.91019043874827	0.560782259627689	-0.519146518687131	2.18575157973078e-16	1.87350135405495e-16	"Psyr"	"06C"
-0.062168302167693	-0.128898277310004	-0.50375469324723	-0.540013248171211	-0.170486736895388	0.199514937468	-0.180099817610016	3.12250225675825e-17	7.63278329429795e-17	"Psyr"	"02A"
-0.353044416250534	0.626836885533561	-0.123110006824649	-0.429343192771746	0.71427325390986	-0.408983598770385	-0.146659859634895	-3.88578058618805e-16	2.77555756156289e-17	"Psyr"	"08A"
-4.15285620687714	2.33670087740455	0.915989270572256	0.833129713896228	-0.233027510398887	-0.0389168814690921	0.556992216715242	1.11022302462516e-16	-4.44089209850063e-16	"Psyr"	"4326"
-1.50114011242819	1.845857663535	-0.706128398766836	0.701723785853357	0.0253935718593409	0.639643840895463	-0.293253597949475	2.22044604925031e-16	-8.88178419700125e-16	"Psyr"	"22D"
-0.121867684016753	0.353515547572794	0.0137727706419444	-0.701290411877389	0.337101510596722	-0.104817954102252	-0.339974608049451	-1.6306400674182e-16	1.17961196366423e-16	"Psyr"	"07A"
-0.655013944213989	-0.0677672624825024	-0.0113047787493265	-0.59663917508687	0.279511510737628	-0.401420514144603	-0.357016187573002	-3.08780778723872e-16	1.59594559789866e-16	"Psyr"	"22B"
-1.23549653040109	2.02552355856244	-1.65545721748491	0.869124571842878	0.278170892696365	0.00373390925830402	0.102185319385561	2.22044604925031e-16	-4.44089209850063e-16	"Psyr"	"26B"
-3.097727512982	1.69327195486742	2.35875349852842	-0.560755830565647	-0.0368443617583024	-0.219955717629894	0.274960962813527	0	-2.22044604925031e-16	"Psyr"	"39F"
-2.90697494753377	-0.505285701506647	-0.240633481959805	0.170912013997846	-1.50807464926161	0.241002485723442	0.173391546731123	5.55111512312578e-16	0	"Psyr"	"08C"
-3.2672658146556	1.95688487497167	2.22806928624483	-0.306750805183991	-0.0846165410995505	-0.00139218062027463	0.18605754078962	0	2.22044604925031e-16	"Psyr"	"23A"
-1.99173966596883	-1.90436636693792	0.590063426549815	0.0647480282948444	-0.491344505768185	0.456518333140541	0.183971209494178	-6.93889390390723e-17	1.11022302462516e-16	"Psyr"	"24C"
-1.60240423736868	-1.35116293584064	0.470764612192631	-0.38869504992609	-0.542243267082673	0.117947734781978	0.0802609529384422	-6.93889390390723e-17	3.33066907387547e-16	"Psyr"	"21A"
-1.0725862193223	-1.12401664138343	0.904038322950251	-0.611895675808788	0.283917522664787	-0.147826536865758	-0.178311595153503	-3.60822483003176e-16	3.88578058618805e-16	"Psyr"	"20B"
0.65475147521161	0.114750391166099	-3.58786806564761	-0.189289246871395	-1.01841828163224	-0.47495179087852	0.38611674309684	5.55111512312578e-16	0	"Psyr"	"08B"
1.2551930334644	0.260940352190245	-0.632926435322966	-0.828938259481436	0.261887962929994	0.269675845027313	0.375715154891594	6.93889390390723e-18	-6.93889390390723e-17	"Pflu"	"36A"
0.995373289111536	0.0930046088442295	-0.463750025113095	-0.790256147263797	-0.0899678986010204	0.12762944930334	0.165208365123655	1.94289029309402e-16	2.22044604925031e-16	"Pflu"	"07B"
1.80428654008661	-0.0772682352827531	-0.885311746956651	-0.414497438854147	-0.107545168895712	-0.494311684459781	0.130140623547219	-8.32667268468867e-17	1.66533453693773e-16	"Pflu"	"06B"
2.14869258502336	0.35636293981311	-0.00768280301228871	-0.737056890669597	0.620123203174719	0.858301657878198	0.32722893409253	8.32667268468867e-17	-5.55111512312578e-17	"Pflu"	"43A"
