strain_id,c_w,X13A,X36A,X06B,X33E,X34A,X43A,X36B,X39A,X27A,X29A,X07B,X06A,net_delta,avg_delta,clade,c_r
02A,0.0263,0.18430000000000002,0.0789,0.052599999999999994,0.18430000000000002,-1.0263,-1.0263,0.18430000000000002,0.1052,0.18430000000000002,0.1315,0.052599999999999994,0.052599999999999994,-0.8419999999999999,-0.07016666666666665,Psyr,0.8462
03A,0.6316,-0.05260000000000009,-0.07900000000000007,-0.07900000000000007,-0.05260000000000009,-0.05260000000000009,-0.07900000000000007,-0.05260000000000009,-0.07900000000000007,-0.05260000000000009,-0.07900000000000007,-0.07900000000000007,-0.07900000000000007,-0.816000000000001,-0.06800000000000007,Pflu,1
06A,0.7369,-0.02629999999999999,-0.05259999999999998,-0.05259999999999998,-0.02629999999999999,-0.02629999999999999,-0.05259999999999998,-0.02629999999999999,-0.05259999999999998,-0.02629999999999999,-0.05259999999999998,-0.05259999999999998,-0.05259999999999998,-0.4996999999999998,-0.04164166666666665,Pflu,1
06B,0.3553,0.03939999999999999,0.03939999999999999,0.0131,0.03939999999999999,-1.3553,0.09199999999999997,0.03939999999999999,0.03939999999999999,0.03939999999999999,0.03939999999999999,0.0131,0.0131,-0.9482,-0.07901666666666667,Pflu,0.9167
06C,-0.1316,0.1842,0.0527,0,0.1842,-0.8684000000000001,-0.8684000000000001,0.1842,0.10529999999999999,0.1842,0.2105,0,0,-0.6315000000000002,-0.05262500000000001,Psyr,0.8462
07A,-0.0395,0.2237,0.0658,0.0395,0.2237,-0.9605,-0.9605,0.2237,0.1711,0.2237,0.1711,0.0395,0.0395,-0.4997,-0.04164166666666667,Psyr,0.8462
07B,0.2894,0.052700000000000025,0.026400000000000035,0.026400000000000035,0.052700000000000025,0.1316,-1.2894,0.052700000000000025,0.026400000000000035,0.052700000000000025,0.026400000000000035,0.026400000000000035,0.026400000000000035,-0.7885999999999997,-0.06571666666666665,Pflu,0.9167
08A,-0.1316,0.1842,0.026399999999999993,9.999999999998899e-5,0.1842,-0.8684000000000001,-0.8684000000000001,0.1842,0.10529999999999999,0.1842,-0.8684000000000001,9.999999999998899e-5,9.999999999998899e-5,-1.7364000000000002,-0.14470000000000002,Psyr,0.7692
08B,0.2895,-1.2894999999999999,0.052600000000000036,0.052600000000000036,-1.2894999999999999,-1.2894999999999999,0.18420000000000003,-1.2894999999999999,0.052600000000000036,-1.2894999999999999,0.052600000000000036,0.052600000000000036,0.052600000000000036,-5.947699999999999,-0.4956416666666666,Psyr,0.6154
08C,-0.6052,-0.39480000000000004,0.18409999999999999,0.02629999999999999,-0.39480000000000004,-0.39480000000000004,0.5788,-0.39480000000000004,0.21039999999999998,-0.39480000000000004,0.5526,0.02629999999999999,0.05259999999999998,-0.3429000000000003,-0.028575000000000027,Psyr,0.6154
10A,-0.421,0.1315,0,-0.13169999999999998,0.1315,-0.579,0.47359999999999997,0.1315,0.02629999999999999,0.1578,-0.579,-0.13169999999999998,-0.579,-0.9481999999999999,-0.07901666666666667,Psyr,0.7692
13A,0.7632,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.3155999999999999,-0.02629999999999999,Pflu,1
14B,-0.1973,0.1447,-0.8027,-0.06589999999999999,0.1447,0.5657,0.4868,0.1447,0.0658,0.1447,-0.8027,-0.06589999999999999,-0.06589999999999999,-0.10599999999999993,-0.008833333333333327,Psyr,0.8462
