"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"21B","21A","21B",13.3,"Psyr","Psyr","W",0,0,1
"21B","20B","21B",13.3,"Psyr","Psyr","W",0,0,1
"21B","08B","08B",14.3,"Psyr","Psyr","W",0,0,1
"21B","36A","36A",14.8,"Psyr","Pflu","B",0,0,1
"21B","06B","06B",14.8,"Psyr","Pflu","B",0,0,1
"21B","07B","07B",14.8,"Psyr","Pflu","B",0,0,1
"21B","43A","43A",14.8,"Psyr","Pflu","B",0,0,1
"21B","29A","29A",15,"Psyr","Pflu","B",0,0,1
"21B","39A","39A",14.2,"Psyr","Pflu","B",0,0,1
"21B","34A","34A",14.3,"Psyr","Pflu","B",0,0,1
"21B","27A","27A",14.3,"Psyr","Pflu","B",0,0,1
"21B","36B","36B",14.3,"Psyr","Pflu","B",0,0,1
"21B","33E","33E",14.3,"Psyr","Pflu","B",0,0,1
"21B","13A","13A",14.3,"Psyr","Pflu","B",0,0,1
"21B","03A","03A",14.4,"Psyr","Pflu","B",0,0,1
"21B","06A","06A",14.4,"Psyr","Pflu","B",0,0,1
"21B","46A","46A",14.5,"Psyr","Pflu","B",0,0,1
"17A","24A","24A",0.4,"Psyr","Psyr","W",0,0,1
"17A","39C","17A",0.5,"Psyr","Psyr","W",0,0,1
"17A","16A","16A",0.6,"Psyr","Psyr","W",0,0,1
"17A","14B","14B",0.6,"Psyr","Psyr","W",0,0,1
"17A","46B","46B",8.8,"Psyr","Psyr","W",0,0,1
"17A","02A","02A",8.2,"Psyr","Psyr","W",0,0,1
"17A","08A","08A",8.2,"Psyr","Psyr","W",0,0,1
"17A","06C","06C",8.2,"Psyr","Psyr","W",0,0,1
"17A","4326","17A",8.2,"Psyr","Psyr","W",0,0,1
"17A","19A","19A",8.2,"Psyr","Psyr","W",0,0,1
"17A","07A","07A",9.9,"Psyr","Psyr","W",0,0,1
"17A","22D","RNI",9.9,"Psyr","Psyr","W",0,1,0
"17A","22B","22B",9.9,"Psyr","Psyr","W",0,0,1
"17A","26B","26B",9.5,"Psyr","Psyr","W",0,0,1
"17A","22C","22C",13.8,"Psyr","Psyr","W",0,0,1
"17A","39F","17A",13.4,"Psyr","Psyr","W",0,0,1
"17A","08C","RI",13.8,"Psyr","Psyr","W",1,0,0
"17A","23A","17A",13.7,"Psyr","Psyr","W",0,0,1
"17A","24C","24C",13.6,"Psyr","Psyr","W",0,0,1
"17A","21A","21A",13.3,"Psyr","Psyr","W",0,0,1
"17A","20B","20B",13.3,"Psyr","Psyr","W",0,0,1
"17A","08B","08B",14.3,"Psyr","Psyr","W",0,0,1
"17A","36A","36A",14.8,"Psyr","Pflu","B",0,0,1
"17A","06B","06B",14.8,"Psyr","Pflu","B",0,0,1
"17A","07B","07B",14.8,"Psyr","Pflu","B",0,0,1
"17A","43A","43A",14.8,"Psyr","Pflu","B",0,0,1
"17A","29A","29A",14.9,"Psyr","Pflu","B",0,0,1
"17A","39A","39A",14.2,"Psyr","Pflu","B",0,0,1
"17A","34A","34A",14.3,"Psyr","Pflu","B",0,0,1
"17A","27A","27A",14.3,"Psyr","Pflu","B",0,0,1
