	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
08A	0.000310071	0.000163001	0.000167365	0.000230986	3.77E-05	0.000282153	0.00026367	0.000231505	0.000237121	0.000110704	4.28E-05	3.73E-05	0	0.000415602	0.000141714	9.58E-08	9.69E-06	5.14E-05	0.000426087	NA	0.000162305	0.000457634	0.000345877	0.000202084	0.000220587	0.000603356	0.000130141	0.00012621	0.000271403	2.47E-06	0.000152279	0.00022695	8.52E-05	6.36E-05	7.57E-05	7.42E-05	4.48E-05	2.23E-05	2.27E-05	0.000430065
4326	0.000105531	0.000252601	0.000248237	0.000184616	0.000453264	0.000133449	0.000151932	0.000184097	0.000178481	0.000526306	0.000372847	0.000452878	0.000415602	0	0.000273888	0.000415506	0.000405907	0.000467021	1.05E-05	NA	0.000253297	4.20E-05	0.000069725	0.000213518	0.000195015	0.001018958	0.000545743	0.000541812	0.000687005	0.000413136	0.000567881	0.000642552	0.000500799	0.000351992	0.000339906	0.000341382	0.000370818	0.000437942	0.000438331	0.000845667
22D	0.000168357	0.000021287	0.000025651	8.93E-05	0.000179376	0.000140439	0.000121956	0.000089791	0.000095407	0.000252418	0.000098959	0.00017899	0.000141714	0.000273888	0	0.000141618	0.000132019	0.000193133	0.000284373	NA	0.000020591	0.00031592	0.000204163	0.00006037	0.000078873	0.00074507	0.000271855	0.000267924	0.000413117	0.000139248	0.000293993	0.000368664	0.000226911	0.000078104	0.000066018	0.000067494	0.00009693	0.000164054	0.000164443	0.000571779
07A	0.000309975	0.000162905	0.000167269	0.00023089	3.78E-05	0.000282057	0.000263574	0.000231409	0.000237025	0.0001108	4.27E-05	3.74E-05	9.58E-08	0.000415506	0.000141618	0	9.60E-06	5.15E-05	0.000425991	NA	0.000162209	0.000457538	0.000345781	0.000201988	0.000220491	0.000603452	0.000130237	0.000126306	0.000271499	2.37E-06	0.000152375	0.000227046	8.53E-05	6.35E-05	7.56E-05	7.41E-05	4.47E-05	2.24E-05	2.28E-05	0.000430161
22B	0.000300376	0.000153306	0.00015767	0.000221291	4.74E-05	0.000272458	0.000253975	0.00022181	0.000227426	0.000120399	3.31E-05	4.70E-05	9.69E-06	0.000405907	0.000132019	9.60E-06	0	6.11E-05	0.000416393	NA	0.00015261	0.000447939	0.000336182	0.000192389	0.000210892	0.000613051	0.000139836	0.000135905	0.000281098	7.23E-06	0.000161974	0.000236645	9.49E-05	5.39E-05	6.60E-05	6.45E-05	3.51E-05	3.20E-05	3.24E-05	0.00043976
26B	0.00036149	0.00021442	0.000218784	0.000282405	1.38E-05	0.000333572	0.000315089	0.000282924	0.00028854	5.93E-05	9.42E-05	1.41E-05	5.14E-05	0.000467021	0.000193133	5.15E-05	6.11E-05	0	0.000477506	NA	0.000213724	0.000509053	0.000397296	0.000253503	0.000272006	0.000551937	7.87E-05	7.48E-05	0.000219984	5.39E-05	0.00010086	0.000175531	3.38E-05	0.000115029	0.000127115	0.000125639	9.62E-05	2.91E-05	2.87E-05	0.000378646
39F	0.000116016	0.000263086	0.000258722	0.000195101	0.00046375	0.000143934	0.000162417	0.000194582	0.000188966	0.000536792	0.000383332	0.000463363	0.000426087	1.05E-05	0.000284373	0.000425991	0.000416393	0.000477506	0	NA	0.000263782	3.15E-05	8.02E-05	0.000224003	0.0002055	0.001029443	0.000556228	0.000552297	0.00069749	0.000423621	0.000578366	0.000653037	0.000511284	0.000362477	0.000350391	0.000351867	0.000381303	0.000448427	0.000448816	0.000856152
22C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08C	0.000147766	6.96E-07	5.06E-06	6.87E-05	0.000199967	0.000119848	0.000101365	0.0000692	0.000074816	0.000273009	0.00011955	0.000199581	0.000162305	0.000253297	0.000020591	0.000162209	0.00015261	0.000213724	0.000263782	NA	0	0.000295329	0.000183572	0.000039779	0.000058282	0.000765661	0.000292446	0.000288515	0.000433708	0.000159839	0.000314584	0.000389255	0.000247502	0.000098695	0.000086609	0.000088085	0.000117521	0.000184645	0.000185034	0.00059237
23A	0.000147563	0.000294633	0.000290269	0.000226648	0.000495297	0.000175481	0.000193964	0.000226129	0.000220513	0.000568338	0.000414879	0.00049491	0.000457634	4.20E-05	0.00031592	0.000457538	0.000447939	0.000509053	3.15E-05	NA	0.000295329	0	0.000111757	0.00025555	0.000237047	0.00106099	0.000587775	0.000583844	0.000729037	0.000455168	0.000609913	0.000684584	0.000542831	0.000394024	0.000381938	0.000383414	0.00041285	0.000479974	0.000480363	0.000887699
