	i	j	outcome	dist	i.clade	j.clade	WB	RI	RNI	ASYM
100	21B	36A	RNI	85.2	Psyr	Pflu	B	0	1	0
101	21B	06B	06B	85.2	Psyr	Pflu	B	0	0	1
102	21B	07B	RNI	85.2	Psyr	Pflu	B	0	1	0
103	21B	43A	RI	85.2	Psyr	Pflu	B	1	0	0
104	21B	29A	29A	85	Psyr	Pflu	B	0	0	1
105	21B	39A	39A	85.8	Psyr	Pflu	B	0	0	1
106	21B	34A	34A	85.7	Psyr	Pflu	B	0	0	1
107	21B	27A	RNI	85.7	Psyr	Pflu	B	0	1	0
108	21B	36B	36B	85.7	Psyr	Pflu	B	0	0	1
109	21B	33E	33E	85.7	Psyr	Pflu	B	0	0	1
110	21B	13A	13A	85.7	Psyr	Pflu	B	0	0	1
111	21B	03A	RNI	85.6	Psyr	Pflu	B	0	1	0
112	21B	06A	06A	85.6	Psyr	Pflu	B	0	0	1
113	21B	46A	RNI	85.5	Psyr	Pflu	B	0	1	0
114	17A	24A	24A	99.6	Psyr	Psyr	W	0	0	1
115	17A	39C	RI	99.5	Psyr	Psyr	W	1	0	0
116	17A	16A	16A	99.4	Psyr	Psyr	W	0	0	1
117	17A	14B	14B	99.4	Psyr	Psyr	W	0	0	1
118	17A	46B	RI	91.2	Psyr	Psyr	W	1	0	0
119	17A	02A	02A	91.8	Psyr	Psyr	W	0	0	1
120	17A	08A	08A	91.8	Psyr	Psyr	W	0	0	1
121	17A	06C	06C	91.8	Psyr	Psyr	W	0	0	1
122	17A	4326	RI	91.8	Psyr	Psyr	W	1	0	0
123	17A	19A	19A	91.8	Psyr	Psyr	W	0	0	1
124	17A	07A	RNI	90.1	Psyr	Psyr	W	0	1	0
125	17A	22D	22D	90.1	Psyr	Psyr	W	0	0	1
126	17A	22B	RNI	90.1	Psyr	Psyr	W	0	1	0
127	17A	26B	26B	90.5	Psyr	Psyr	W	0	0	1
128	17A	22C	22C	86.2	Psyr	Psyr	W	0	0	1
129	17A	39F	39F	86.6	Psyr	Psyr	W	0	0	1
130	17A	08C	08C	86.2	Psyr	Psyr	W	0	0	1
131	17A	23A	17A	86.3	Psyr	Psyr	W	0	0	1
132	17A	24C	RNI	86.4	Psyr	Psyr	W	0	1	0
133	17A	21A	RI	86.7	Psyr	Psyr	W	1	0	0
134	17A	20B	20B	86.7	Psyr	Psyr	W	0	0	1
135	17A	08B	08B	85.7	Psyr	Psyr	W	0	0	1
136	17A	36A	RNI	85.2	Psyr	Pflu	B	0	1	0
137	17A	06B	06B	85.2	Psyr	Pflu	B	0	0	1
138	17A	07B	07B	85.2	Psyr	Pflu	B	0	0	1
139	17A	43A	RI	85.2	Psyr	Pflu	B	1	0	0
140	17A	29A	29A	85.1	Psyr	Pflu	B	0	0	1
141	17A	39A	39A	85.8	Psyr	Pflu	B	0	0	1
142	17A	34A	34A	85.7	Psyr	Pflu	B	0	0	1
143	17A	27A	RNI	85.7	Psyr	Pflu	B	0	1	0
144	17A	36B	36B	85.7	Psyr	Pflu	B	0	0	1
145	17A	33E	33E	85.7	Psyr	Pflu	B	0	0	1
146	17A	13A	13A	85.7	Psyr	Pflu	B	0	0	1
147	17A	03A	03A	85.7	Psyr	Pflu	B	0	0	1
148	17A	06A	06A	85.7	Psyr	Pflu	B	0	0	1
149	17A	46A	RNI	85.5	Psyr	Pflu	B	0	1	0
150	24A	16A	RNI	99.6	Psyr	Psyr	W	0	1	0
151	24A	14B	24A	99.6	Psyr	Psyr	W	0	0	1
152	24A	02A	RNI	92	Psyr	Psyr	W	0	1	0
153	24A	08A	08A	92	Psyr	Psyr	W	0	0	1
154	24A	06C	06C	92	Psyr	Psyr	W	0	0	1
155	24A	4326	RI	92	Psyr	Psyr	W	1	0	0
156	24A	07A	RNI	90.3	Psyr	Psyr	W	0	1	0
157	24A	22D	RI	90.2	Psyr	Psyr	W	1	0	0
158	24A	22B	24A	90.2	Psyr	Psyr	W	0	0	1
159	24A	26B	RI	90.7	Psyr	Psyr	W	1	0	0
160	24A	22C	RI	86.2	Psyr	Psyr	W	1	0	0
161	24A	39F	RI	86.6	Psyr	Psyr	W	1	0	0
162	24A	23A	24A	86.4	Psyr	Psyr	W	0	0	1
163	24A	24C	24A	86.3	Psyr	Psyr	W	0	0	1
164	24A	21A	RI	86.7	Psyr	Psyr	W	1	0	0
165	24A	08B	08B	85.8	Psyr	Psyr	W	0	0	1
166	24A	36A	RNI	85.2	Psyr	Pflu	B	0	1	0
167	24A	06B	06B	85.2	Psyr	Pflu	B	0	0	1
168	24A	07B	07B	85.2	Psyr	Pflu	B	0	0	1
169	24A	43A	43A	85.2	Psyr	Pflu	B	0	0	1
170	24A	39A	39A	85.7	Psyr	Pflu	B	0	0	1
171	24A	34A	34A	85.5	Psyr	Pflu	B	0	0	1
172	24A	36B	36B	85.6	Psyr	Pflu	B	0	0	1
173	24A	33E	33E	85.6	Psyr	Pflu	B	0	0	1
174	24A	13A	RNI	85.6	Psyr	Pflu	B	0	1	0
175	24A	03A	RNI	85.5	Psyr	Pflu	B	0	1	0
176	24A	06A	06A	85.5	Psyr	Pflu	B	0	0	1
177	24A	46A	24A	85.4	Psyr	Pflu	B	0	0	1
178	39C	16A	16A	99.6	Psyr	Psyr	W	0	0	1
179	39C	14B	RI	99.6	Psyr	Psyr	W	1	0	0
180	39C	46B	RI	91.1	Psyr	Psyr	W	1	0	0
181	39C	02A	02A	91.9	Psyr	Psyr	W	0	0	1
182	39C	08A	08A	91.9	Psyr	Psyr	W	0	0	1
183	39C	06C	06C	91.9	Psyr	Psyr	W	0	0	1
184	39C	4326	RI	91.9	Psyr	Psyr	W	1	0	0
185	39C	19A	RI	91.9	Psyr	Psyr	W	1	0	0
186	39C	07A	RNI	90.2	Psyr	Psyr	W	0	1	0
187	39C	22D	RI	90.1	Psyr	Psyr	W	1	0	0
188	39C	22B	RI	90.1	Psyr	Psyr	W	1	0	0
189	39C	26B	RI	90.6	Psyr	Psyr	W	1	0	0
190	39C	22C	RI	86.2	Psyr	Psyr	W	1	0	0
191	39C	39F	RI	86.6	Psyr	Psyr	W	1	0	0
192	39C	08C	RI	86.3	Psyr	Psyr	W	1	0	0
193	39C	23A	39C	86.4	Psyr	Psyr	W	0	0	1
194	39C	24C	24C	86.3	Psyr	Psyr	W	0	0	1
195	39C	21A	21A	86.7	Psyr	Psyr	W	0	0	1
196	39C	20B	RI	86.7	Psyr	Psyr	W	1	0	0
197	39C	08B	08B	85.8	Psyr	Psyr	W	0	0	1
198	39C	36A	36A	85.2	Psyr	Pflu	B	0	0	1
199	39C	06B	RI	85.2	Psyr	Pflu	B	1	0	0
200	39C	07B	07B	85.2	Psyr	Pflu	B	0	0	1
201	39C	43A	43A	85.2	Psyr	Pflu	B	0	0	1
202	39C	29A	29A	85	Psyr	Pflu	B	0	0	1
203	39C	39A	39A	85.7	Psyr	Pflu	B	0	0	1
204	39C	34A	34A	85.5	Psyr	Pflu	B	0	0	1
205	39C	27A	27A	85.6	Psyr	Pflu	B	0	0	1
206	39C	36B	36B	85.6	Psyr	Pflu	B	0	0	1
207	39C	33E	RNI	85.6	Psyr	Pflu	B	0	1	0
208	39C	13A	13A	85.6	Psyr	Pflu	B	0	0	1
209	39C	03A	03A	85.5	Psyr	Pflu	B	0	0	1
210	39C	06A	06A	85.5	Psyr	Pflu	B	0	0	1
211	39C	46A	39C	85.4	Psyr	Pflu	B	0	0	1
212	16A	14B	16A	100	Psyr	Psyr	W	0	0	1
213	16A	46B	16A	91.1	Psyr	Psyr	W	0	0	1
214	16A	02A	RNI	92	Psyr	Psyr	W	0	1	0
215	16A	08A	08A	92	Psyr	Psyr	W	0	0	1
216	16A	06C	RNI	92	Psyr	Psyr	W	0	1	0
217	16A	4326	16A	92	Psyr	Psyr	W	0	0	1
218	16A	19A	RNI	91.9	Psyr	Psyr	W	0	1	0
219	16A	07A	07A	90.1	Psyr	Psyr	W	0	0	1
220	16A	22D	RNI	90.1	Psyr	Psyr	W	0	1	0
221	16A	22B	RNI	90.1	Psyr	Psyr	W	0	1	0
222	16A	26B	26B	90.5	Psyr	Psyr	W	0	0	1
223	16A	22C	RNI	86.1	Psyr	Psyr	W	0	1	0
224	16A	39F	16A	86.5	Psyr	Psyr	W	0	0	1
225	16A	08C	16A	86.2	Psyr	Psyr	W	0	0	1
226	16A	23A	16A	86.3	Psyr	Psyr	W	0	0	1
227	16A	24C	RI	86.3	Psyr	Psyr	W	1	0	0
228	16A	21A	RI	86.6	Psyr	Psyr	W	1	0	0
229	16A	20B	16A	86.6	Psyr	Psyr	W	0	0	1
230	16A	08B	08B	85.9	Psyr	Psyr	W	0	0	1
231	16A	36A	36A	85.1	Psyr	Pflu	B	0	0	1
232	16A	06B	06B	85.1	Psyr	Pflu	B	0	0	1
233	16A	07B	07B	85.1	Psyr	Pflu	B	0	0	1
234	16A	43A	43A	85.1	Psyr	Pflu	B	0	0	1
235	16A	29A	29A	85	Psyr	Pflu	B	0	0	1
236	16A	39A	39A	85.8	Psyr	Pflu	B	0	0	1
237	16A	34A	34A	85.5	Psyr	Pflu	B	0	0	1
238	16A	27A	27A	85.5	Psyr	Pflu	B	0	0	1
239	16A	36B	36B	85.5	Psyr	Pflu	B	0	0	1
240	16A	33E	33E	85.5	Psyr	Pflu	B	0	0	1
241	16A	13A	13A	85.5	Psyr	Pflu	B	0	0	1
242	16A	03A	03A	85.5	Psyr	Pflu	B	0	0	1
243	16A	06A	06A	85.5	Psyr	Pflu	B	0	0	1
244	16A	46A	46A	85.3	Psyr	Pflu	B	0	0	1
245	14B	46B	RI	91.1	Psyr	Psyr	W	1	0	0
246	14B	02A	RNI	92	Psyr	Psyr	W	0	1	0
247	14B	08A	08A	92	Psyr	Psyr	W	0	0	1
248	14B	06C	06C	92	Psyr	Psyr	W	0	0	1
249	14B	4326	RI	92	Psyr	Psyr	W	1	0	0
250	14B	19A	19A	91.9	Psyr	Psyr	W	0	0	1
251	14B	07A	RNI	90.1	Psyr	Psyr	W	0	1	0
252	14B	22D	22D	90.1	Psyr	Psyr	W	0	0	1
253	14B	22B	RNI	90.1	Psyr	Psyr	W	0	1	0
254	14B	26B	26B	90.5	Psyr	Psyr	W	0	0	1
255	14B	22C	22C	86.1	Psyr	Psyr	W	0	0	1
256	14B	39F	14B	86.5	Psyr	Psyr	W	0	0	1
257	14B	08C	RI	86.2	Psyr	Psyr	W	1	0	0
258	14B	23A	14B	86.3	Psyr	Psyr	W	0	0	1
259	14B	24C	14B	86.3	Psyr	Psyr	W	0	0	1
260	14B	21A	14B	86.6	Psyr	Psyr	W	0	0	1
261	14B	20B	RI	86.6	Psyr	Psyr	W	1	0	0
262	14B	08B	08B	85.9	Psyr	Psyr	W	0	0	1
263	14B	36A	RNI	85.1	Psyr	Pflu	B	0	1	0
264	14B	06B	06B	85.1	Psyr	Pflu	B	0	0	1
265	14B	07B	RNI	85.1	Psyr	Pflu	B	0	1	0
266	14B	43A	43A	85.1	Psyr	Pflu	B	0	0	1
267	14B	29A	29A	85	Psyr	Pflu	B	0	0	1
268	14B	39A	39A	85.8	Psyr	Pflu	B	0	0	1
269	14B	34A	34A	85.5	Psyr	Pflu	B	0	0	1
270	14B	27A	RNI	85.5	Psyr	Pflu	B	0	1	0
271	14B	36B	36B	85.5	Psyr	Pflu	B	0	0	1
272	14B	33E	RNI	85.5	Psyr	Pflu	B	0	1	0
273	14B	13A	RNI	85.5	Psyr	Pflu	B	0	1	0
274	14B	03A	RNI	85.5	Psyr	Pflu	B	0	1	0
275	14B	06A	06A	85.5	Psyr	Pflu	B	0	0	1
276	14B	46A	RNI	85.3	Psyr	Pflu	B	0	1	0
277	46B	02A	02A	93.9	Psyr	Psyr	W	0	0	1
278	46B	08A	RNI	93.9	Psyr	Psyr	W	0	1	0
279	46B	06C	RNI	93.9	Psyr	Psyr	W	0	1	0
280	46B	4326	RI	93.9	Psyr	Psyr	W	1	0	0
281	46B	19A	RI	94	Psyr	Psyr	W	1	0	0
282	46B	07A	RNI	89.9	Psyr	Psyr	W	0	1	0
283	46B	22D	RI	90.1	Psyr	Psyr	W	1	0	0
284	46B	22B	RI	90.1	Psyr	Psyr	W	1	0	0
285	46B	26B	RI	90.1	Psyr	Psyr	W	1	0	0
286	46B	22C	RI	85.5	Psyr	Psyr	W	1	0	0
287	46B	39F	RI	86.3	Psyr	Psyr	W	1	0	0
288	46B	08C	RI	86.5	Psyr	Psyr	W	1	0	0
289	46B	23A	23A	86.6	Psyr	Psyr	W	0	0	1
290	46B	24C	24C	86.7	Psyr	Psyr	W	0	0	1
291	46B	21A	21A	86.1	Psyr	Psyr	W	0	0	1
292	46B	20B	RNI	86.1	Psyr	Psyr	W	0	1	0
