	i	j	outcome	dist	i.clade	j.clade	WB	RI	RNI	ASYM
422	19A	07A	RNI	89.7	Psyr	Psyr	W	0	1	0
423	19A	22D	19A	89.8	Psyr	Psyr	W	0	0	1
424	19A	22B	19A	89.8	Psyr	Psyr	W	0	0	1
425	19A	26B	RI	89.8	Psyr	Psyr	W	1	0	0
426	19A	22C	19A	86.4	Psyr	Psyr	W	0	0	1
427	19A	39F	19A	85.9	Psyr	Psyr	W	0	0	1
428	19A	08C	RI	86.4	Psyr	Psyr	W	1	0	0
429	19A	23A	RNI	86.6	Psyr	Psyr	W	0	1	0
430	19A	24C	19A	87.5	Psyr	Psyr	W	0	0	1
431	19A	21A	19A	86.7	Psyr	Psyr	W	0	0	1
432	19A	20B	20B	86.7	Psyr	Psyr	W	0	0	1
433	19A	08B	RNI	84.6	Psyr	Psyr	W	0	1	0
434	19A	36A	19A	85.1	Psyr	Pflu	B	0	0	1
435	19A	06B	RI	85.1	Psyr	Pflu	B	1	0	0
436	19A	07B	RNI	85.1	Psyr	Pflu	B	0	1	0
437	19A	43A	43A	85.1	Psyr	Pflu	B	0	0	1
438	19A	29A	29A	85	Psyr	Pflu	B	0	0	1
439	19A	39A	39A	85.8	Psyr	Pflu	B	0	0	1
440	19A	34A	RNI	85.2	Psyr	Pflu	B	0	1	0
441	19A	27A	RNI	85.8	Psyr	Pflu	B	0	1	0
442	19A	36B	RI	85.8	Psyr	Pflu	B	1	0	0
443	19A	33E	19A	85.8	Psyr	Pflu	B	0	0	1
444	19A	13A	RNI	85.8	Psyr	Pflu	B	0	1	0
445	19A	03A	RNI	85.7	Psyr	Pflu	B	0	1	0
446	19A	06A	19A	85.7	Psyr	Pflu	B	0	0	1
447	19A	46A	19A	85.4	Psyr	Pflu	B	0	0	1
448	07A	22D	22D	99.4	Psyr	Psyr	W	0	0	1
449	07A	22B	RNI	99.4	Psyr	Psyr	W	0	1	0
450	07A	26B	26B	95	Psyr	Psyr	W	0	0	1
451	07A	22C	RNI	84.8	Psyr	Psyr	W	0	1	0
452	07A	39F	07A	86.6	Psyr	Psyr	W	0	0	1
453	07A	08C	07A	85.7	Psyr	Psyr	W	0	0	1
454	07A	23A	07A	85.9	Psyr	Psyr	W	0	0	1
455	07A	24C	07A	86.6	Psyr	Psyr	W	0	0	1
456	07A	21A	07A	86.1	Psyr	Psyr	W	0	0	1
457	07A	20B	RNI	86.1	Psyr	Psyr	W	0	1	0
458	07A	08B	08B	84	Psyr	Psyr	W	0	0	1
459	07A	36A	RI	84.4	Psyr	Pflu	B	1	0	0
460	07A	06B	06B	84.4	Psyr	Pflu	B	0	0	1
461	07A	07B	07B	84.4	Psyr	Pflu	B	0	0	1
462	07A	43A	43A	84.2	Psyr	Pflu	B	0	0	1
463	07A	29A	29A	84.1	Psyr	Pflu	B	0	0	1
464	07A	39A	39A	84.1	Psyr	Pflu	B	0	0	1
465	07A	34A	34A	84.9	Psyr	Pflu	B	0	0	1
466	07A	27A	27A	84.3	Psyr	Pflu	B	0	0	1
467	07A	36B	36B	84.3	Psyr	Pflu	B	0	0	1
468	07A	33E	33E	84.3	Psyr	Pflu	B	0	0	1
469	07A	13A	13A	84.3	Psyr	Pflu	B	0	0	1
470	07A	03A	03A	84.2	Psyr	Pflu	B	0	0	1
471	07A	06A	06A	84.2	Psyr	Pflu	B	0	0	1
472	07A	46A	46A	83.8	Psyr	Pflu	B	0	0	1
473	22D	22B	RNI	99.3	Psyr	Psyr	W	0	1	0
474	22D	26B	26B	94.7	Psyr	Psyr	W	0	0	1
475	22D	22C	RNI	85	Psyr	Psyr	W	0	1	0
476	22D	39F	22D	86.5	Psyr	Psyr	W	0	0	1
477	22D	08C	RI	85.6	Psyr	Psyr	W	1	0	0
478	22D	23A	22D	85.7	Psyr	Psyr	W	0	0	1
479	22D	24C	22D	86.5	Psyr	Psyr	W	0	0	1
480	22D	21A	22D	86.1	Psyr	Psyr	W	0	0	1
481	22D	20B	RI	86.1	Psyr	Psyr	W	1	0	0
482	22D	08B	RNI	84	Psyr	Psyr	W	0	1	0
483	22D	36A	RNI	84.4	Psyr	Pflu	B	0	1	0
484	22D	06B	RNI	84.4	Psyr	Pflu	B	0	1	0
485	22D	07B	RNI	84.4	Psyr	Pflu	B	0	1	0
486	22D	43A	RNI	84.3	Psyr	Pflu	B	0	1	0
487	22D	29A	29A	84.1	Psyr	Pflu	B	0	0	1
488	22D	39A	39A	84.1	Psyr	Pflu	B	0	0	1
489	22D	34A	RNI	84.8	Psyr	Pflu	B	0	1	0
490	22D	27A	RNI	84.4	Psyr	Pflu	B	0	1	0
491	22D	36B	36B	84.4	Psyr	Pflu	B	0	0	1
492	22D	33E	RNI	84.4	Psyr	Pflu	B	0	1	0
493	22D	13A	RNI	84.4	Psyr	Pflu	B	0	1	0
494	22D	03A	RNI	84.3	Psyr	Pflu	B	0	1	0
495	22D	06A	RNI	84.3	Psyr	Pflu	B	0	1	0
496	22D	46A	RNI	83.9	Psyr	Pflu	B	0	1	0
497	22B	26B	26B	94.7	Psyr	Psyr	W	0	0	1
498	22B	22C	RNI	85	Psyr	Psyr	W	0	1	0
499	22B	39F	22B	86.5	Psyr	Psyr	W	0	0	1
500	22B	08C	RI	85.6	Psyr	Psyr	W	1	0	0
501	22B	23A	22B	85.7	Psyr	Psyr	W	0	0	1
502	22B	24C	22B	86.5	Psyr	Psyr	W	0	0	1
503	22B	21A	22B	86.1	Psyr	Psyr	W	0	0	1
504	22B	20B	20B	86.1	Psyr	Psyr	W	0	0	1
505	22B	08B	RNI	84	Psyr	Psyr	W	0	1	0
506	22B	36A	RNI	84.4	Psyr	Pflu	B	0	1	0
507	22B	06B	06B	84.4	Psyr	Pflu	B	0	0	1
508	22B	07B	07B	84.4	Psyr	Pflu	B	0	0	1
509	22B	43A	RNI	84.3	Psyr	Pflu	B	0	1	0
510	22B	29A	29A	84.1	Psyr	Pflu	B	0	0	1
511	22B	39A	39A	84.1	Psyr	Pflu	B	0	0	1
512	22B	34A	34A	84.8	Psyr	Pflu	B	0	0	1
513	22B	27A	RNI	84.4	Psyr	Pflu	B	0	1	0
514	22B	36B	36B	84.4	Psyr	Pflu	B	0	0	1
515	22B	33E	33E	84.4	Psyr	Pflu	B	0	0	1
516	22B	13A	RNI	84.4	Psyr	Pflu	B	0	1	0
517	22B	03A	RNI	84.3	Psyr	Pflu	B	0	1	0
518	22B	06A	RNI	84.3	Psyr	Pflu	B	0	1	0
519	22B	46A	46A	83.9	Psyr	Pflu	B	0	0	1
520	26B	22C	26B	84.7	Psyr	Psyr	W	0	0	1
521	26B	39F	RI	86.8	Psyr	Psyr	W	1	0	0
522	26B	08C	RI	85.9	Psyr	Psyr	W	1	0	0
523	26B	23A	26B	86	Psyr	Psyr	W	0	0	1
524	26B	24C	26B	86.1	Psyr	Psyr	W	0	0	1
525	26B	21A	26B	85.7	Psyr	Psyr	W	0	0	1
526	26B	20B	RI	85.7	Psyr	Psyr	W	1	0	0
527	26B	08B	RNI	84.5	Psyr	Psyr	W	0	1	0
528	26B	36A	26B	85	Psyr	Pflu	B	0	0	1
529	26B	06B	RI	85	Psyr	Pflu	B	1	0	0
530	26B	07B	RNI	85	Psyr	Pflu	B	0	1	0
531	26B	43A	43A	84.7	Psyr	Pflu	B	0	0	1
532	26B	29A	RI	84.5	Psyr	Pflu	B	1	0	0
533	26B	39A	39A	84.6	Psyr	Pflu	B	0	0	1
534	26B	34A	RNI	85	Psyr	Pflu	B	0	1	0
535	26B	27A	RNI	84.7	Psyr	Pflu	B	0	1	0
536	26B	36B	RI	84.7	Psyr	Pflu	B	1	0	0
537	26B	33E	26B	84.7	Psyr	Pflu	B	0	0	1
538	26B	13A	13A	84.7	Psyr	Pflu	B	0	0	1
539	26B	03A	RNI	84.6	Psyr	Pflu	B	0	1	0
540	26B	06A	26B	84.6	Psyr	Pflu	B	0	0	1
541	26B	46A	26B	84.2	Psyr	Pflu	B	0	0	1
542	22C	39F	RI	87.4	Psyr	Psyr	W	1	0	0
543	22C	08C	08C	88.3	Psyr	Psyr	W	0	0	1
544	22C	23A	22C	88.2	Psyr	Psyr	W	0	0	1
545	22C	24C	22C	88.7	Psyr	Psyr	W	0	0	1
546	22C	21A	21A	89.1	Psyr	Psyr	W	0	0	1
547	22C	20B	20B	89.1	Psyr	Psyr	W	0	0	1
548	22C	08B	RNI	83.9	Psyr	Psyr	W	0	1	0
549	22C	36A	36A	84.5	Psyr	Pflu	B	0	0	1
550	22C	06B	RI	84.5	Psyr	Pflu	B	1	0	0
551	22C	07B	07B	84.5	Psyr	Pflu	B	0	0	1
552	22C	43A	43A	84.3	Psyr	Pflu	B	0	0	1
553	22C	29A	29A	84.1	Psyr	Pflu	B	0	0	1
554	22C	39A	39A	84.7	Psyr	Pflu	B	0	0	1
555	22C	34A	34A	84.8	Psyr	Pflu	B	0	0	1
556	22C	27A	RNI	84.8	Psyr	Pflu	B	0	1	0
557	22C	36B	36B	84.8	Psyr	Pflu	B	0	0	1
558	22C	33E	RNI	84.8	Psyr	Pflu	B	0	1	0
559	22C	13A	13A	84.8	Psyr	Pflu	B	0	0	1
560	22C	03A	RNI	84.8	Psyr	Pflu	B	0	1	0
561	22C	06A	06A	84.8	Psyr	Pflu	B	0	0	1
562	22C	46A	RNI	84.7	Psyr	Pflu	B	0	1	0
563	39F	08C	RI	87.9	Psyr	Psyr	W	1	0	0
564	39F	23A	39F	88	Psyr	Psyr	W	0	0	1
565	39F	24C	RI	87.8	Psyr	Psyr	W	1	0	0
566	39F	21A	RI	87.5	Psyr	Psyr	W	1	0	0
567	39F	20B	20B	87.5	Psyr	Psyr	W	0	0	1
568	39F	08B	08B	83.8	Psyr	Psyr	W	0	0	1
569	39F	36A	36A	84.9	Psyr	Pflu	B	0	0	1
570	39F	06B	06B	84.9	Psyr	Pflu	B	0	0	1
571	39F	07B	07B	84.9	Psyr	Pflu	B	0	0	1
572	39F	43A	43A	84.8	Psyr	Pflu	B	0	0	1
573	39F	29A	29A	84.7	Psyr	Pflu	B	0	0	1
574	39F	39A	39A	85	Psyr	Pflu	B	0	0	1
575	39F	34A	34A	84.6	Psyr	Pflu	B	0	0	1
576	39F	27A	27A	84.8	Psyr	Pflu	B	0	0	1
577	39F	36B	36B	84.8	Psyr	Pflu	B	0	0	1
578	39F	33E	33E	84.8	Psyr	Pflu	B	0	0	1
579	39F	13A	13A	84.8	Psyr	Pflu	B	0	0	1
580	39F	03A	03A	84.7	Psyr	Pflu	B	0	0	1
581	39F	06A	06A	84.7	Psyr	Pflu	B	0	0	1
582	39F	46A	46A	84.4	Psyr	Pflu	B	0	0	1
583	08C	23A	RI	99.7	Psyr	Psyr	W	1	0	0
584	08C	24C	RI	90.5	Psyr	Psyr	W	1	0	0
585	08C	21A	RI	92.1	Psyr	Psyr	W	1	0	0
586	08C	20B	RI	92.1	Psyr	Psyr	W	1	0	0
587	08C	08B	RNI	83.8	Psyr	Psyr	W	0	1	0
588	08C	36A	36A	84.5	Psyr	Pflu	B	0	0	1
589	08C	06B	06B	84.5	Psyr	Pflu	B	0	0	1
590	08C	07B	07B	84.5	Psyr	Pflu	B	0	0	1
591	08C	43A	43A	84.2	Psyr	Pflu	B	0	0	1
592	08C	29A	29A	84.2	Psyr	Pflu	B	0	0	1
593	08C	39A	39A	85.2	Psyr	Pflu	B	0	0	1
594	08C	34A	34A	85	Psyr	Pflu	B	0	0	1
595	08C	27A	27A	85	Psyr	Pflu	B	0	0	1
596	08C	36B	36B	85	Psyr	Pflu	B	0	0	1
597	08C	33E	RNI	85	Psyr	Pflu	B	0	1	0
598	08C	13A	13A	85	Psyr	Pflu	B	0	0	1
599	08C	03A	03A	85	Psyr	Pflu	B	0	0	1
600	08C	06A	RNI	85	Psyr	Pflu	B	0	1	0
601	08C	46A	RI	84.3	Psyr	Pflu	B	1	0	0
602	23A	24C	RI	90.6	Psyr	Psyr	W	1	0	0
603	23A	21A	RI	92.1	Psyr	Psyr	W	1	0	0
604	23A	20B	20B	92.1	Psyr	Psyr	W	0	0	1
605	23A	08B	08B	83.8	Psyr	Psyr	W	0	0	1
606	23A	36A	36A	84.6	Psyr	Pflu	B	0	0	1
607	23A	06B	06B	84.6	Psyr	Pflu	B	0	0	1
608	23A	07B	07B	84.6	Psyr	Pflu	B	0	0	1
609	23A	43A	43A	84.3	Psyr	Pflu	B	0	0	1
610	23A	29A	29A	84.2	Psyr	Pflu	B	0	0	1
611	23A	39A	39A	85.2	Psyr	Pflu	B	0	0	1
612	23A	34A	34A	85	Psyr	Pflu	B	0	0	1
613	23A	27A	27A	85.1	Psyr	Pflu	B	0	0	1
614	23A	36B	36B	85.1	Psyr	Pflu	B	0	0	1
615	23A	33E	33E	85.1	Psyr	Pflu	B	0	0	1
616	23A	13A	13A	85.1	Psyr	Pflu	B	0	0	1
617	23A	03A	03A	85	Psyr	Pflu	B	0	0	1
618	23A	06A	06A	85	Psyr	Pflu	B	0	0	1
619	23A	46A	46A	84.3	Psyr	Pflu	B	0	0	1
620	24C	21A	21A	92.8	Psyr	Psyr	W	0	0	1
621	24C	20B	RNI	92.8	Psyr	Psyr	W	0	1	0
622	24C	08B	08B	83.9	Psyr	Psyr	W	0	0	1
623	24C	36A	36A	84.4	Psyr	Pflu	B	0	0	1
624	24C	06B	06B	84.4	Psyr	Pflu	B	0	0	1
625	24C	07B	07B	84.4	Psyr	Pflu	B	0	0	1
626	24C	43A	43A	83.9	Psyr	Pflu	B	0	0	1
627	24C	29A	29A	83.8	Psyr	Pflu	B	0	0	1
628	24C	39A	39A	84.5	Psyr	Pflu	B	0	0	1
629	24C	34A	34A	84.1	Psyr	Pflu	B	0	0	1
630	24C	27A	27A	84.2	Psyr	Pflu	B	0	0	1
631	24C	36B	36B	84.2	Psyr	Pflu	B	0	0	1
632	24C	33E	33E	84.2	Psyr	Pflu	B	0	0	1
633	24C	13A	13A	84.2	Psyr	Pflu	B	0	0	1
634	24C	03A	03A	84.1	Psyr	Pflu	B	0	0	1
635	24C	06A	06A	84.1	Psyr	Pflu	B	0	0	1
636	24C	46A	46A	83.5	Psyr	Pflu	B	0	0	1
637	21A	20B	RNI	100	Psyr	Psyr	W	0	1	0
638	21A	08B	08B	84.2	Psyr	Psyr	W	0	0	1
639	21A	36A	36A	84.1	Psyr	Pflu	B	0	0	1
640	21A	06B	06B	84.1	Psyr	Pflu	B	0	0	1
641	21A	07B	07B	84.1	Psyr	Pflu	B	0	0	1
642	21A	43A	43A	84.3	Psyr	Pflu	B	0	0	1
643	21A	29A	29A	84.1	Psyr	Pflu	B	0	0	1
644	21A	39A	39A	84.6	Psyr	Pflu	B	0	0	1
645	21A	34A	34A	84.6	Psyr	Pflu	B	0	0	1
646	21A	27A	27A	84.5	Psyr	Pflu	B	0	0	1
647	21A	36B	36B	84.5	Psyr	Pflu	B	0	0	1
648	21A	33E	33E	84.5	Psyr	Pflu	B	0	0	1
649	21A	13A	13A	84.5	Psyr	Pflu	B	0	0	1
650	21A	03A	03A	84.2	Psyr	Pflu	B	0	0	1
651	21A	06A	06A	84.2	Psyr	Pflu	B	0	0	1
652	21A	46A	46A	83.9	Psyr	Pflu	B	0	0	1
653	20B	08B	08B	84.2	Psyr	Psyr	W	0	0	1
654	20B	36A	RI	84.1	Psyr	Pflu	B	1	0	0
655	20B	06B	RI	84.1	Psyr	Pflu	B	1	0	0
656	20B	07B	07B	84.1	Psyr	Pflu	B	0	0	1
657	20B	43A	43A	84.3	Psyr	Pflu	B	0	0	1
658	20B	29A	RI	84.1	Psyr	Pflu	B	1	0	0
659	20B	39A	39A	84.6	Psyr	Pflu	B	0	0	1
660	20B	34A	34A	84.6	Psyr	Pflu	B	0	0	1
661	20B	27A	27A	84.5	Psyr	Pflu	B	0	0	1
662	20B	36B	RI	84.5	Psyr	Pflu	B	1	0	0
663	20B	33E	RI	84.5	Psyr	Pflu	B	1	0	0
664	20B	13A	13A	84.5	Psyr	Pflu	B	0	0	1
665	20B	03A	03A	84.2	Psyr	Pflu	B	0	0	1
666	20B	06A	RI	84.2	Psyr	Pflu	B	1	0	0
667	20B	46A	RI	83.9	Psyr	Pflu	B	1	0	0
668	08B	36A	36A	84	Psyr	Pflu	B	0	0	1
669	08B	06B	06B	84	Psyr	Pflu	B	0	0	1
670	08B	07B	RI	84	Psyr	Pflu	B	1	0	0
671	08B	43A	43A	84.2	Psyr	Pflu	B	0	0	1
672	08B	29A	29A	84.2	Psyr	Pflu	B	0	0	1
673	08B	39A	39A	84.6	Psyr	Pflu	B	0	0	1
674	08B	34A	34A	84.7	Psyr	Pflu	B	0	0	1
675	08B	27A	27A	84.6	Psyr	Pflu	B	0	0	1
676	08B	36B	36B	84.6	Psyr	Pflu	B	0	0	1
677	08B	33E	33E	84.6	Psyr	Pflu	B	0	0	1
678	08B	13A	13A	84.6	Psyr	Pflu	B	0	0	1
679	08B	03A	RI	84.5	Psyr	Pflu	B	1	0	0
680	08B	06A	06A	84.5	Psyr	Pflu	B	0	0	1
681	08B	46A	46A	84	Psyr	Pflu	B	0	0	1
682	36A	06B	06B	100	Pflu	Pflu	W	0	0	1
683	36A	07B	36A	100	Pflu	Pflu	W	0	0	1
684	36A	43A	43A	96.2	Pflu	Pflu	W	0	0	1
685	36A	29A	29A	96.1	Pflu	Pflu	W	0	0	1
686	36A	39A	RI	89.2	Pflu	Pflu	W	1	0	0
687	36A	34A	RNI	89.5	Pflu	Pflu	W	0	1	0
688	36A	27A	RNI	89.3	Pflu	Pflu	W	0	1	0
689	36A	36B	36B	89.3	Pflu	Pflu	W	0	0	1
690	36A	33E	RNI	89.3	Pflu	Pflu	W	0	1	0
691	36A	13A	RNI	89.3	Pflu	Pflu	W	0	1	0
692	36A	03A	RNI	89.2	Pflu	Pflu	W	0	1	0
693	36A	06A	RNI	89.2	Pflu	Pflu	W	0	1	0
694	36A	46A	RNI	89.1	Pflu	Pflu	W	0	1	0
695	06B	07B	06B	100	Pflu	Pflu	W	0	0	1
696	06B	43A	RNI	96.2	Pflu	Pflu	W	0	1	0
697	06B	29A	29A	96.1	Pflu	Pflu	W	0	0	1
698	06B	39A	39A	89.2	Pflu	Pflu	W	0	0	1
699	06B	34A	RNI	89.5	Pflu	Pflu	W	0	1	0
700	06B	27A	RNI	89.3	Pflu	Pflu	W	0	1	0
701	06B	36B	36B	89.3	Pflu	Pflu	W	0	0	1
702	06B	33E	RNI	89.3	Pflu	Pflu	W	0	1	0
703	06B	13A	RNI	89.3	Pflu	Pflu	W	0	1	0
704	06B	03A	RNI	89.2	Pflu	Pflu	W	0	1	0
705	06B	06A	RNI	89.2	Pflu	Pflu	W	0	1	0
706	06B	46A	RNI	89.1	Pflu	Pflu	W	0	1	0
707	07B	43A	43A	96.2	Pflu	Pflu	W	0	0	1
708	07B	29A	29A	96.1	Pflu	Pflu	W	0	0	1
709	07B	39A	39A	89.2	Pflu	Pflu	W	0	0	1
710	07B	34A	34A	89.5	Pflu	Pflu	W	0	0	1
711	07B	27A	27A	89.3	Pflu	Pflu	W	0	0	1
712	07B	36B	36B	89.3	Pflu	Pflu	W	0	0	1
713	07B	33E	33E	89.3	Pflu	Pflu	W	0	0	1
714	07B	13A	13A	89.3	Pflu	Pflu	W	0	0	1
715	07B	03A	03A	89.2	Pflu	Pflu	W	0	0	1
716	07B	06A	06A	89.2	Pflu	Pflu	W	0	0	1
717	07B	46A	46A	89.1	Pflu	Pflu	W	0	0	1
718	43A	29A	RNI	99.8	Pflu	Pflu	W	0	1	0
719	43A	39A	RI	89.4	Pflu	Pflu	W	1	0	0
720	43A	34A	RNI	89.8	Pflu	Pflu	W	0	1	0
721	43A	27A	RNI	89.3	Pflu	Pflu	W	0	1	0
722	43A	36B	36B	89.3	Pflu	Pflu	W	0	0	1
723	43A	33E	33E	89.3	Pflu	Pflu	W	0	0	1
724	43A	13A	RI	89.3	Pflu	Pflu	W	1	0	0
725	43A	03A	43A	89.3	Pflu	Pflu	W	0	0	1
726	43A	06A	06A	89.3	Pflu	Pflu	W	0	0	1
727	43A	46A	RNI	88.7	Pflu	Pflu	W	0	1	0
728	29A	39A	29A	89.2	Pflu	Pflu	W	0	0	1
729	29A	34A	RNI	89.7	Pflu	Pflu	W	0	1	0
730	29A	27A	RNI	89.3	Pflu	Pflu	W	0	1	0
731	29A	36B	RI	89.3	Pflu	Pflu	W	1	0	0
732	29A	33E	29A	89.3	Pflu	Pflu	W	0	0	1
733	29A	13A	29A	89.3	Pflu	Pflu	W	0	0	1
734	29A	03A	29A	89.3	Pflu	Pflu	W	0	0	1
735	29A	06A	29A	89.3	Pflu	Pflu	W	0	0	1
736	29A	46A	29A	88.5	Pflu	Pflu	W	0	0	1
737	39A	34A	34A	94.4	Pflu	Pflu	W	0	0	1
738	39A	27A	27A	93.4	Pflu	Pflu	W	0	0	1
739	39A	36B	RI	93.4	Pflu	Pflu	W	1	0	0
740	39A	33E	RI	93.4	Pflu	Pflu	W	1	0	0
741	39A	13A	RI	93.4	Pflu	Pflu	W	1	0	0
742	39A	03A	RI	93.1	Pflu	Pflu	W	1	0	0
743	39A	06A	RI	93.1	Pflu	Pflu	W	1	0	0
744	39A	46A	39A	92.1	Pflu	Pflu	W	0	0	1
745	34A	27A	RNI	93.1	Pflu	Pflu	W	0	1	0
746	34A	36B	RNI	93.1	Pflu	Pflu	W	0	1	0
747	34A	33E	RNI	93.1	Pflu	Pflu	W	0	1	0
748	34A	13A	34A	93.1	Pflu	Pflu	W	0	0	1
749	34A	03A	34A	92.9	Pflu	Pflu	W	0	0	1
750	34A	06A	RNI	92.9	Pflu	Pflu	W	0	1	0
751	34A	46A	RNI	92.3	Pflu	Pflu	W	0	1	0
752	27A	36B	36B	100	Pflu	Pflu	W	0	0	1
753	27A	33E	RNI	100	Pflu	Pflu	W	0	1	0
754	27A	13A	27A	100	Pflu	Pflu	W	0	0	1
755	27A	03A	27A	98.2	Pflu	Pflu	W	0	0	1
756	27A	06A	RNI	98.2	Pflu	Pflu	W	0	1	0
757	27A	46A	RNI	93.2	Pflu	Pflu	W	0	1	0
758	36B	33E	36B	100	Pflu	Pflu	W	0	0	1
759	36B	13A	36B	100	Pflu	Pflu	W	0	0	1
760	36B	03A	36B	98.2	Pflu	Pflu	W	0	0	1
761	36B	06A	36B	98.2	Pflu	Pflu	W	0	0	1
762	36B	46A	36B	93.2	Pflu	Pflu	W	0	0	1
763	33E	13A	33E	100	Pflu	Pflu	W	0	0	1
764	33E	03A	33E	98.2	Pflu	Pflu	W	0	0	1
765	33E	06A	RNI	98.2	Pflu	Pflu	W	0	1	0
766	33E	46A	RNI	93.2	Pflu	Pflu	W	0	1	0
767	13A	03A	13A	98.2	Pflu	Pflu	W	0	0	1
768	13A	06A	06A	98.2	Pflu	Pflu	W	0	0	1
769	13A	46A	RNI	93.2	Pflu	Pflu	W	0	1	0
770	03A	06A	06A	100	Pflu	Pflu	W	0	0	1
771	03A	46A	RNI	93	Pflu	Pflu	W	0	1	0
772	06A	46A	RNI	93	Pflu	Pflu	W	0	1	0
