	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
4326	534.4767716	436.121624	1004.6349	1415.175959	477.3201774	771.3517697	843.5676582	932.4976708	120.0321561	602.8058912	1404.844006	415.814393	420.432575	0	124.1986591	156.4627771	54.37814585	68.95532535	469.9387955	NA	1643.260129	409.1733011	1386.283045	1063.030092	359.9929389	1054.112749	158.3447025	53.59800591	51.01599309	488.8238791	366.9010011	506.8971256	463.7222563	602.4348247	605.9137012	627.2239704	550.1593886	488.2880438	507.6481151	252.9800942
22D	410.2781126	311.922965	880.4362407	1290.9773	353.1215183	647.1531106	719.3689991	808.2990117	4.166502909	727.0045502	1280.645347	291.615734	544.6312341	124.1986591	0	280.6614361	69.82051321	193.1539844	594.1374545	NA	1519.06147	533.3719601	1262.084385	938.8314326	235.7942799	929.9140896	282.5433615	70.60065315	175.2146521	613.0225381	491.0996601	631.0957846	587.9209153	726.6334837	730.1123602	751.4226294	674.3580476	612.4867028	631.8467741	377.1787532
07A	690.9395487	592.5844011	1161.097677	1571.638736	633.7829544	927.8145467	1000.030435	1088.960448	276.4949332	446.3431141	1561.306783	572.2771701	263.969798	156.4627771	280.6614361	0	210.8409229	87.5074517	313.4760184	NA	1799.722906	252.710524	1542.745822	1219.492869	516.455716	1210.575526	1.881925439	210.060783	105.446784	332.361102	210.438224	350.4343485	307.2594792	445.9720476	449.4509241	470.7611933	393.6966115	331.8252667	351.185338	96.51731714
22B	480.0986258	381.7434782	950.2567539	1360.797813	422.9420315	716.9736238	789.1895123	878.1195249	65.6540103	657.184037	1350.465861	361.4362472	474.8107209	54.37814585	69.82051321	210.8409229	0	123.3334712	524.3169413	NA	1588.881983	463.5514469	1331.904899	1008.651946	305.6147931	999.7346028	212.7228483	0.780139939	105.3941389	543.2020249	421.2791469	561.2752714	518.1004021	656.8129705	660.291847	681.6021162	604.5375344	542.6661896	562.0262609	307.35824
26B	603.432097	505.0769494	1073.590225	1484.131284	546.2755027	840.307095	912.5229835	1001.452996	188.9874815	533.8505658	1473.799332	484.7697184	351.4772497	68.95532535	193.1539844	87.5074517	123.3334712	0	400.9834701	NA	1712.215455	340.2179757	1455.23837	1131.985417	428.9482643	1123.068074	89.38937714	122.5533313	17.93933226	419.8685537	297.9456757	437.9418002	394.7669309	533.4794993	536.9583758	558.268645	481.2040632	419.3327184	438.6927897	184.0247688
39F	1004.415567	906.0604195	1474.573695	1885.114754	947.2589728	1241.290565	1313.506454	1402.436466	589.9709516	132.8670957	1874.782802	885.7531885	49.50622043	469.9387955	594.1374545	313.4760184	524.3169413	400.9834701	0	NA	2113.198925	60.76549436	1856.22184	1532.968887	829.9317344	1524.051544	311.594093	523.5368014	418.9228024	18.88508364	103.0377944	36.95833014	6.216539164	132.4960292	135.9749057	157.2851749	80.22059314	18.34924834	37.70931964	216.9587013
22C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08C	1108.783358	1207.138505	638.6252294	228.0841702	1165.939952	871.9083595	799.692471	710.7624584	1523.227973	2246.06602	238.4161228	1227.445736	2063.692704	1643.260129	1519.06147	1799.722906	1588.881983	1712.215455	2113.198925	NA	0	2052.43343	256.9770847	580.2300376	1283.26719	589.1473806	1801.604832	1589.662123	1694.276122	2132.084008	2010.16113	2150.157255	2106.982386	2245.694954	2249.17383	2270.4841	2193.419518	2131.548173	2150.908244	1896.240223
23A	943.6500727	845.2949251	1413.808201	1824.34926	886.4934784	1180.525071	1252.740959	1341.670972	529.2054572	193.6325901	1814.017308	824.9876941	11.25927393	409.1733011	533.3719601	252.710524	463.5514469	340.2179757	60.76549436	NA	2052.43343	0	1795.456346	1472.203393	769.16624	1463.28605	250.8285986	462.771307	358.157308	79.650578	42.2723	97.7238245	54.5489552	193.2615236	196.7404001	218.0506693	140.9860875	79.1147427	98.474814	156.1932069
24C	851.8062729	950.1614205	381.6481448	28.89291451	908.9628672	614.9312748	542.7153863	453.7853737	1266.250888	1989.088936	18.5609619	970.4686515	1806.71562	1386.283045	1262.084385	1542.745822	1331.904899	1455.23837	1856.22184	NA	256.9770847	1795.456346	0	323.2529529	1026.290106	332.1702959	1544.627747	1332.685039	1437.299038	1875.106924	1753.184046	1893.18017	1850.005301	1988.717869	1992.196746	2013.507015	1936.442433	1874.571088	1893.93116	1639.263139
