	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
39F	0.021	0.026	0.128	0.026	0.090	0.013	0.103	0.154	0.154	0.000	0.115	0.256	0.154	0.000	0.192	0.179	0.064	0.244	0.000	0.013	0.038	0.000	0.038	0.064	0.013	0.474	0.531	0.452	0.474	0.667	0.663	0.744	0.667	0.689	0.689	0.705	0.689	0.590	0.667	0.492
22C	0.034	0.038	0.141	0.038	0.077	0.026	0.090	0.141	0.167	0.013	0.103	0.244	0.141	0.013	0.179	0.167	0.051	0.231	0.013	0.000	0.026	0.013	0.026	0.051	0.000	0.462	0.519	0.440	0.462	0.654	0.650	0.731	0.654	0.676	0.676	0.692	0.676	0.577	0.654	0.479
08C	0.060	0.064	0.167	0.064	0.051	0.051	0.064	0.115	0.192	0.038	0.077	0.218	0.115	0.038	0.154	0.141	0.026	0.205	0.038	0.026	0.000	0.038	0.000	0.026	0.026	0.436	0.493	0.414	0.436	0.628	0.624	0.705	0.628	0.651	0.651	0.667	0.651	0.551	0.628	0.453
23A	0.021	0.026	0.128	0.026	0.090	0.013	0.103	0.154	0.154	0.000	0.115	0.256	0.154	0.000	0.192	0.179	0.064	0.244	0.000	0.013	0.038	0.000	0.038	0.064	0.013	0.474	0.531	0.452	0.474	0.667	0.663	0.744	0.667	0.689	0.689	0.705	0.689	0.590	0.667	0.492
24C	0.060	0.064	0.167	0.064	0.051	0.051	0.064	0.115	0.192	0.038	0.077	0.218	0.115	0.038	0.154	0.141	0.026	0.205	0.038	0.026	0.000	0.038	0.000	0.026	0.026	0.436	0.493	0.414	0.436	0.628	0.624	0.705	0.628	0.651	0.651	0.667	0.651	0.551	0.628	0.453
21A	0.085	0.090	0.192	0.090	0.026	0.077	0.038	0.090	0.218	0.064	0.051	0.192	0.090	0.064	0.128	0.115	0.000	0.179	0.064	0.051	0.026	0.064	0.026	0.000	0.051	0.410	0.467	0.388	0.410	0.603	0.599	0.679	0.603	0.625	0.625	0.641	0.625	0.526	0.603	0.428
20B	0.034	0.038	0.141	0.038	0.077	0.026	0.090	0.141	0.167	0.013	0.103	0.244	0.141	0.013	0.179	0.167	0.051	0.231	0.013	0.000	0.026	0.013	0.026	0.051	0.000	0.462	0.519	0.440	0.462	0.654	0.650	0.731	0.654	0.676	0.676	0.692	0.676	0.577	0.654	0.479
08B	0.496	0.500	0.603	0.500	0.385	0.487	0.372	0.321	0.628	0.474	0.359	0.218	0.321	0.474	0.282	0.295	0.410	0.231	0.474	0.462	0.436	0.474	0.436	0.410	0.462	0.000	0.057	0.022	0.000	0.192	0.189	0.269	0.192	0.215	0.215	0.231	0.215	0.115	0.192	0.018
36A	0.553	0.557	0.660	0.557	0.442	0.544	0.429	0.378	0.685	0.531	0.416	0.275	0.378	0.531	0.339	0.352	0.467	0.288	0.531	0.519	0.493	0.531	0.493	0.467	0.519	0.057	0.000	0.079	0.057	0.135	0.132	0.212	0.135	0.158	0.158	0.174	0.158	0.058	0.135	0.039
07B	0.474	0.478	0.581	0.478	0.363	0.465	0.350	0.299	0.606	0.452	0.337	0.196	0.299	0.452	0.260	0.273	0.388	0.209	0.452	0.440	0.414	0.452	0.414	0.388	0.440	0.022	0.079	0.000	0.022	0.214	0.211	0.291	0.214	0.237	0.237	0.253	0.237	0.137	0.214	0.039
06B	0.496	0.500	0.603	0.500	0.385	0.487	0.372	0.321	0.628	0.474	0.359	0.218	0.321	0.474	0.282	0.295	0.410	0.231	0.474	0.462	0.436	0.474	0.436	0.410	0.462	0.000	0.057	0.022	0.000	0.192	0.189	0.269	0.192	0.215	0.215	0.231	0.215	0.115	0.192	0.018
43A	0.688	0.692	0.795	0.692	0.577	0.679	0.564	0.513	0.821	0.667	0.551	0.410	0.513	0.667	0.474	0.487	0.603	0.423	0.667	0.654	0.628	0.667	0.628	0.603	0.654	0.192	0.135	0.214	0.192	0.000	0.004	0.077	0.000	0.023	0.023	0.038	0.023	0.077	0.000	0.175
