	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
29A	0.474	0.462	0.795	0.577	0.385	0.692	0.359	0.346	0.692	0.244	0.321	0.282	0.346	0.859	0.269	0.282	0.385	0.321	0.808	0.410	0.718	0.769	0.667	0.615	0.526	0.244	0.231	0.256	0.179	0.051	0.000	0.064	0.115	0.038	0.026	0.103	0.038	0.026	0.000	0.218
39A	0.410	0.397	0.731	0.513	0.321	0.628	0.295	0.282	0.628	0.179	0.256	0.218	0.282	0.795	0.205	0.218	0.321	0.256	0.744	0.346	0.654	0.705	0.603	0.551	0.462	0.179	0.167	0.192	0.115	0.013	0.064	0.000	0.179	0.026	0.038	0.167	0.026	0.038	0.064	0.154
34A	0.590	0.577	0.910	0.692	0.500	0.808	0.474	0.462	0.808	0.359	0.436	0.397	0.462	0.974	0.385	0.397	0.500	0.436	0.923	0.526	0.833	0.885	0.782	0.731	0.641	0.359	0.346	0.372	0.295	0.167	0.115	0.179	0.000	0.154	0.141	0.013	0.154	0.141	0.115	0.333
36B	0.436	0.423	0.756	0.538	0.346	0.654	0.321	0.308	0.654	0.205	0.282	0.244	0.308	0.821	0.231	0.244	0.346	0.282	0.769	0.372	0.679	0.731	0.628	0.577	0.487	0.205	0.192	0.218	0.141	0.013	0.038	0.026	0.154	0.000	0.013	0.141	0.000	0.013	0.038	0.179
13A	0.449	0.436	0.769	0.551	0.359	0.667	0.333	0.321	0.667	0.218	0.295	0.256	0.321	0.833	0.244	0.256	0.359	0.295	0.782	0.385	0.692	0.744	0.641	0.590	0.500	0.218	0.205	0.231	0.154	0.026	0.026	0.038	0.141	0.013	0.000	0.128	0.013	0.000	0.026	0.192
27A	0.577	0.564	0.897	0.679	0.487	0.795	0.462	0.449	0.795	0.346	0.423	0.385	0.449	0.962	0.372	0.385	0.487	0.423	0.910	0.513	0.821	0.872	0.769	0.718	0.628	0.346	0.333	0.359	0.282	0.154	0.103	0.167	0.013	0.141	0.128	0.000	0.141	0.128	0.103	0.321
33E	0.436	0.423	0.756	0.538	0.346	0.654	0.321	0.308	0.654	0.205	0.282	0.244	0.308	0.821	0.231	0.244	0.346	0.282	0.769	0.372	0.679	0.731	0.628	0.577	0.487	0.205	0.192	0.218	0.141	0.013	0.038	0.026	0.154	0.000	0.013	0.141	0.000	0.013	0.038	0.179
03A	0.449	0.436	0.769	0.551	0.359	0.667	0.333	0.321	0.667	0.218	0.295	0.256	0.321	0.833	0.244	0.256	0.359	0.295	0.782	0.385	0.692	0.744	0.641	0.590	0.500	0.218	0.205	0.231	0.154	0.026	0.026	0.038	0.141	0.013	0.000	0.128	0.013	0.000	0.026	0.192
06A	0.474	0.462	0.795	0.577	0.385	0.692	0.359	0.346	0.692	0.244	0.321	0.282	0.346	0.859	0.269	0.282	0.385	0.321	0.808	0.410	0.718	0.769	0.667	0.615	0.526	0.244	0.231	0.256	0.179	0.051	0.000	0.064	0.115	0.038	0.026	0.103	0.038	0.026	0.000	0.218
46A	0.256	0.244	0.577	0.359	0.167	0.474	0.141	0.128	0.474	0.026	0.103	0.064	0.128	0.641	0.051	0.064	0.167	0.103	0.590	0.192	0.500	0.551	0.449	0.397	0.308	0.026	0.013	0.038	0.038	0.167	0.218	0.154	0.333	0.179	0.192	0.321	0.179	0.192	0.218	0.000
