	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
39F	0.154	0.308	0.077	0.231	0.218	0.308	0.231	0.154	0.385	0.385	0.231	0.231	0.154	0.385	0.231	0.231	0.231	0.308	0.000	0.154	0.000	0.077	0.308	0.308	0.385	0.000	0.077	0.231	0.077	0.077	0.077	0.077	0.615	0.077	0.077	0.538	0.000	0.077	0.000	0.154
22C	0.000	0.154	0.077	0.077	0.064	0.154	0.077	0.308	0.231	0.538	0.077	0.077	0.000	0.538	0.385	0.077	0.077	0.462	0.154	0.000	0.154	0.231	0.154	0.154	0.231	0.154	0.077	0.077	0.077	0.231	0.231	0.077	0.769	0.077	0.077	0.692	0.154	0.077	0.154	0.000
08C	0.154	0.308	0.077	0.231	0.218	0.308	0.231	0.154	0.385	0.385	0.231	0.231	0.154	0.385	0.231	0.231	0.231	0.308	0.000	0.154	0.000	0.077	0.308	0.308	0.385	0.000	0.077	0.231	0.077	0.077	0.077	0.077	0.615	0.077	0.077	0.538	0.000	0.077	0.000	0.154
23A	0.231	0.385	0.154	0.308	0.295	0.385	0.308	0.077	0.462	0.308	0.308	0.308	0.231	0.308	0.154	0.308	0.308	0.231	0.077	0.231	0.077	0.000	0.385	0.385	0.462	0.077	0.154	0.308	0.154	0.000	0.000	0.154	0.538	0.154	0.154	0.462	0.077	0.154	0.077	0.231
24C	0.154	0.000	0.231	0.077	0.090	0.000	0.077	0.462	0.077	0.692	0.077	0.077	0.154	0.692	0.538	0.077	0.077	0.615	0.308	0.154	0.308	0.385	0.000	0.000	0.077	0.308	0.231	0.077	0.231	0.385	0.385	0.231	0.923	0.231	0.231	0.846	0.308	0.231	0.308	0.154
21A	0.154	0.000	0.231	0.077	0.090	0.000	0.077	0.462	0.077	0.692	0.077	0.077	0.154	0.692	0.538	0.077	0.077	0.615	0.308	0.154	0.308	0.385	0.000	0.000	0.077	0.308	0.231	0.077	0.231	0.385	0.385	0.231	0.923	0.231	0.231	0.846	0.308	0.231	0.308	0.154
20B	0.231	0.077	0.308	0.154	0.167	0.077	0.154	0.538	0.000	0.769	0.154	0.154	0.231	0.769	0.615	0.154	0.154	0.692	0.385	0.231	0.385	0.462	0.077	0.077	0.000	0.385	0.308	0.154	0.308	0.462	0.462	0.308	1.000	0.308	0.308	0.923	0.385	0.308	0.385	0.231
08B	0.154	0.308	0.077	0.231	0.218	0.308	0.231	0.154	0.385	0.385	0.231	0.231	0.154	0.385	0.231	0.231	0.231	0.308	0.000	0.154	0.000	0.077	0.308	0.308	0.385	0.000	0.077	0.231	0.077	0.077	0.077	0.077	0.615	0.077	0.077	0.538	0.000	0.077	0.000	0.154
36A	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
07B	0.077	0.077	0.154	0.000	0.013	0.077	0.000	0.385	0.154	0.615	0.000	0.000	0.077	0.615	0.462	0.000	0.000	0.538	0.231	0.077	0.231	0.308	0.077	0.077	0.154	0.231	0.154	0.000	0.154	0.308	0.308	0.154	0.846	0.154	0.154	0.769	0.231	0.154	0.231	0.077
06B	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
43A	0.231	0.385	0.154	0.308	0.295	0.385	0.308	0.077	0.462	0.308	0.308	0.308	0.231	0.308	0.154	0.308	0.308	0.231	0.077	0.231	0.077	0.000	0.385	0.385	0.462	0.077	0.154	0.308	0.154	0.000	0.000	0.154	0.538	0.154	0.154	0.462	0.077	0.154	0.077	0.231
29A	0.231	0.385	0.154	0.308	0.295	0.385	0.308	0.077	0.462	0.308	0.308	0.308	0.231	0.308	0.154	0.308	0.308	0.231	0.077	0.231	0.077	0.000	0.385	0.385	0.462	0.077	0.154	0.308	0.154	0.000	0.000	0.154	0.538	0.154	0.154	0.462	0.077	0.154	0.077	0.231
39A	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
34A	0.769	0.923	0.692	0.846	0.833	0.923	0.846	0.462	1.000	0.231	0.846	0.846	0.769	0.231	0.385	0.846	0.846	0.308	0.615	0.769	0.615	0.538	0.923	0.923	1.000	0.615	0.692	0.846	0.692	0.538	0.538	0.692	0.000	0.692	0.692	0.077	0.615	0.692	0.615	0.769
36B	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
13A	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
27A	0.692	0.846	0.615	0.769	0.756	0.846	0.769	0.385	0.923	0.154	0.769	0.769	0.692	0.154	0.308	0.769	0.769	0.231	0.538	0.692	0.538	0.462	0.846	0.846	0.923	0.538	0.615	0.769	0.615	0.462	0.462	0.615	0.077	0.615	0.615	0.000	0.538	0.615	0.538	0.692
33E	0.154	0.308	0.077	0.231	0.218	0.308	0.231	0.154	0.385	0.385	0.231	0.231	0.154	0.385	0.231	0.231	0.231	0.308	0.000	0.154	0.000	0.077	0.308	0.308	0.385	0.000	0.077	0.231	0.077	0.077	0.077	0.077	0.615	0.077	0.077	0.538	0.000	0.077	0.000	0.154
03A	0.077	0.231	0.000	0.154	0.141	0.231	0.154	0.231	0.308	0.462	0.154	0.154	0.077	0.462	0.308	0.154	0.154	0.385	0.077	0.077	0.077	0.154	0.231	0.231	0.308	0.077	0.000	0.154	0.000	0.154	0.154	0.000	0.692	0.000	0.000	0.615	0.077	0.000	0.077	0.077
06A	0.154	0.308	0.077	0.231	0.218	0.308	0.231	0.154	0.385	0.385	0.231	0.231	0.154	0.385	0.231	0.231	0.231	0.308	0.000	0.154	0.000	0.077	0.308	0.308	0.385	0.000	0.077	0.231	0.077	0.077	0.077	0.077	0.615	0.077	0.077	0.538	0.000	0.077	0.000	0.154
46A	0.000	0.154	0.077	0.077	0.064	0.154	0.077	0.308	0.231	0.538	0.077	0.077	0.000	0.538	0.385	0.077	0.077	0.462	0.154	0.000	0.154	0.231	0.154	0.154	0.231	0.154	0.077	0.077	0.077	0.231	0.231	0.077	0.769	0.077	0.077	0.692	0.154	0.077	0.154	0.000
