	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
4326	0.400500609	0.441159332	0.430996509	0.131202049	0.560482873	0.563467629	0.429707048	0.406797177	0.194679211	0.222517238	0.296231331	0.288976505	0.283493321	0	0.210899879	0.243228909	0.265617753	0.325885875	0.112728907	NA	0.166999428	0.118823707	0.298336688	0.24780234	0.26047548	0.503694657	0.336551594	0.301322403	0.401633702	0.333910107	0.417823134	0.358452412	0.239126328	0.361377768	0.352064268	0.367227835	0.400963274	0.38011496	0.391527616	0.210296402
22D	0.18960073	0.230259453	0.22009663	0.07969783	0.349582994	0.35256775	0.218807169	0.195897298	0.016220668	0.011617359	0.085331452	0.078076626	0.072593442	0.210899879	0	0.03232903	0.054717874	0.114985996	0.323628786	NA	0.043900451	0.329723586	0.087436809	0.036902461	0.049575601	0.292794778	0.125651715	0.090422524	0.190733823	0.123010228	0.206923255	0.147552533	0.028226449	0.150477889	0.141164389	0.156327956	0.190063395	0.169215081	0.180627737	0.000603477
07A	0.1572717	0.197930423	0.1877676	0.11202686	0.317253964	0.32023872	0.186478139	0.163568269	0.048549698	0.02071167	0.053002422	0.045747596	0.040264413	0.243228909	0.03232903	0	0.022388845	0.082656966	0.355957816	NA	0.07622948	0.362052616	0.055107779	0.004573431	0.017246572	0.260465748	0.093322685	0.058093494	0.158404793	0.090681198	0.174594225	0.115223503	0.004102581	0.118148859	0.108835359	0.123998926	0.157734365	0.136886051	0.148298707	0.032932507
22B	0.134882855	0.175541578	0.165378755	0.134415705	0.294865119	0.297849876	0.164089294	0.141179424	0.070938542	0.043100515	0.030613578	0.023358752	0.017875568	0.265617753	0.054717874	0.022388845	0	0.060268121	0.378346661	NA	0.098618325	0.38444146	0.032718934	0.017815414	0.005142273	0.238076904	0.07093384	0.035704649	0.136015948	0.068292353	0.15220538	0.092834658	0.026491426	0.095760014	0.086446514	0.101610081	0.13534552	0.114497206	0.125909862	0.055321352
26B	0.074614734	0.115273457	0.105110634	0.194683826	0.234596998	0.237581754	0.103821173	0.080911303	0.131206663	0.103368636	0.029654543	0.036909369	0.042392553	0.325885875	0.114985996	0.082656966	0.060268121	0	0.438614782	NA	0.158886446	0.444709582	0.027549187	0.078083535	0.065410394	0.177808782	0.010665719	0.024563472	0.075747827	0.008024232	0.091937259	0.032566537	0.086759547	0.035491893	0.026178393	0.04134196	0.075077399	0.054229085	0.065641741	0.115589473
39F	0.513229516	0.553888239	0.543725416	0.243930956	0.67321178	0.676196536	0.542435955	0.519526085	0.307408119	0.335246146	0.408960239	0.401705413	0.396222229	0.112728907	0.323628786	0.355957816	0.378346661	0.438614782	0	NA	0.279728336	0.006094799	0.411065595	0.360531247	0.373204388	0.616423564	0.449280501	0.41405131	0.514362609	0.446639014	0.530552041	0.471181319	0.351855235	0.474106675	0.464793175	0.479956742	0.513692181	0.492843867	0.504256523	0.323025309
22C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08C	0.23350118	0.274159903	0.26399708	0.03579738	0.393483444	0.396468201	0.262707619	0.239797749	0.027679783	0.05551781	0.129231903	0.121977077	0.116493893	0.166999428	0.043900451	0.07622948	0.098618325	0.158886446	0.279728336	NA	0	0.285823135	0.131337259	0.080802912	0.093476052	0.336695229	0.169552165	0.134322974	0.234634273	0.166910678	0.250823705	0.191452983	0.072126899	0.194378339	0.185064839	0.200228406	0.233963845	0.213115531	0.224528187	0.043296973
23A	0.519324316	0.559983039	0.549820216	0.250025755	0.67930658	0.682291336	0.548530755	0.525620884	0.313502918	0.341340945	0.415055038	0.407800212	0.402317028	0.118823707	0.329723586	0.362052616	0.38444146	0.444709582	0.006094799	NA	0.285823135	0	0.417160395	0.366626047	0.379299187	0.622518364	0.455375301	0.42014611	0.520457409	0.452733814	0.536646841	0.477276119	0.357950035	0.480201475	0.470887975	0.486051542	0.519786981	0.498938667	0.510351323	0.329120109
24C	0.102163921	0.142822644	0.132659821	0.167134639	0.262146185	0.265130941	0.13137036	0.10846049	0.103657476	0.075819449	0.002105356	0.009360182	0.014843366	0.298336688	0.087436809	0.055107779	0.032718934	0.027549187	0.411065595	NA	0.131337259	0.417160395	0	0.050534348	0.037861207	0.205357969	0.038214906	0.002985715	0.103297014	0.035573419	0.119486446	0.060115724	0.05921036	0.06304108	0.05372758	0.068891147	0.102626586	0.081778272	0.093190928	0.088040286
