	10A	20A	21B	17A	24A	39C	16A	14B	46B	02A	08A	06C	4326	19A	07A	22D	22B	26B	22C	39F	08C	23A	24C	21A	20B	08B	36A	06B	07B	43A	29A	39A	34A	27A	36B	33E	13A	03A	06A	46A
19A	26.04459071	198.5598641	30.9000919	687.1557498	5.22339426	121.8101724	195.8115148	106.512405	178.4705504	150.5549165	57.81238271	65.04164955	599.4496436	0	91.79343337	201.5390038	104.6396388	86.36504938	NA	844.3013052	677.6552768	833.0586701	445.6486056	300.0781962	232.6471386	460.6339132	77.71478888	197.9181318	86.18952152	45.51906788	247.3164528	232.8664748	51.44845372	175.7767988	122.7159468	178.0872698	94.84499938	183.9449228	217.0839918	98.83136752
07A	65.74884266	106.7664307	122.6935253	595.3623164	86.57003911	30.01673901	104.0180814	14.71897163	86.67711705	242.3483499	149.6058161	156.8350829	507.6562102	91.79343337	0	109.7455704	12.84620541	178.1584827	NA	752.5078719	585.8618434	741.2652367	353.8551723	208.2847628	140.8537052	552.4273465	169.5082222	289.7115651	5.603911846	137.3125012	339.1098861	324.6599081	40.34497965	267.5702321	214.5093801	269.8807031	186.6384327	275.7383561	308.8774251	7.037934154
22D	175.4944131	2.979139761	232.4390957	485.616746	196.3156096	79.72883143	5.727489051	95.02659882	23.06845339	352.0939203	259.3513865	266.5806534	397.9106398	201.5390038	109.7455704	0	96.89936504	287.9040532	NA	642.7623014	476.116273	631.5196663	244.1096018	98.53919236	31.10813477	662.172917	279.2537927	399.4571356	115.3494823	247.0580717	448.8554566	434.4054786	150.0905501	377.3158026	324.2549506	379.6262736	296.3840032	385.4839266	418.6229956	102.7076363
22B	78.59504807	93.92022528	135.5397307	582.516111	99.41624451	17.1705336	91.17187599	1.872766222	73.83091164	255.1945553	162.4520215	169.6812883	494.8100048	104.6396388	12.84620541	96.89936504	0	191.0046882	NA	739.6616664	573.015638	728.4190313	341.0089669	195.4385574	128.0074998	565.2735519	182.3544277	302.5577706	18.45011725	150.1587067	351.9560916	337.5061136	53.19118505	280.4164376	227.3555856	282.7269086	199.4846382	288.5845616	321.7236306	5.808271253
26B	112.4096401	284.9249134	55.46495748	773.5207992	91.58844364	208.1752218	282.1765641	192.8774544	264.8355998	64.18986712	28.55266667	21.32339983	685.8146929	86.36504938	178.1584827	287.9040532	191.0046882	0	NA	930.6663546	764.0203262	919.4237194	532.013655	386.4432455	319.012188	374.2688638	8.650260503	111.5530824	172.5545709	40.8459815	160.9514034	146.5014254	137.8135031	89.4117494	36.3508974	91.7222204	8.479949997	97.5798734	130.7189424	185.1964169
22C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39F	818.2567145	645.7414412	875.2013971	157.1455554	839.077911	722.4911328	648.4897905	737.7889002	665.8307548	994.8562217	902.1136879	909.3429548	244.8516617	844.3013052	752.5078719	642.7623014	739.6616664	930.6663546	NA	0	166.6460284	11.24263515	398.6526996	544.2231091	611.6541666	1304.935218	922.0160941	1042.219437	758.1117837	889.8203731	1091.617758	1077.16778	792.8528515	1020.078104	967.017252	1022.388575	939.1463046	1028.246228	1061.385297	745.4699377
08C	651.6106861	479.0954127	708.5553687	9.500473015	672.4318825	555.8451044	481.843762	571.1428718	499.1847264	828.2101933	735.4676595	742.6969263	78.20563321	677.6552768	585.8618434	476.116273	573.015638	764.0203262	NA	166.6460284	0	155.4033933	232.0066711	377.5770806	445.0081382	1138.28919	755.3700657	875.5734086	591.4657553	723.1743447	924.9717296	910.5217516	626.2068231	853.4320756	800.3712236	855.7425466	772.5002762	861.6001996	894.7392686	578.8239093
23A	807.0140794	634.498806	863.958762	145.9029203	827.8352758	711.2484977	637.2471553	726.5462651	654.5881196	983.6135866	890.8710528	898.1003196	233.6090265	833.0586701	741.2652367	631.5196663	728.4190313	919.4237194	NA	11.24263515	155.4033933	0	387.4100644	532.9804739	600.4115315	1293.692583	910.7734589	1030.976802	746.8691485	878.5777379	1080.375123	1065.925145	781.6102163	1008.835469	955.7746168	1011.14594	927.9036694	1017.003593	1050.142662	734.2273025
24C	419.6040149	247.0887416	476.5486975	241.5071442	440.4252114	323.8384333	249.8370909	339.1362006	267.1780552	596.2035221	503.4609883	510.6902552	153.8010379	445.6486056	353.8551723	244.1096018	341.0089669	532.013655	NA	398.6526996	232.0066711	387.4100644	0	145.5704095	213.0014671	906.2825188	523.3633945	643.5667374	359.4590841	491.1676735	692.9650584	678.5150804	394.2001519	621.4254044	568.3645524	623.7358754	540.493605	629.5935284	662.7325974	346.8172381
